"ath1_probe";"probe_target_number";"FC_35LFY_Ler_GSE911";"pfp_35LFY_Ler_GSE911";"P.value_35LFY_Ler_GSE911";"FC_DexCyclo_Cyclo_GSE911";"pfp_FC_DexCyclo_Cyclo_GSE911";"P.value_FC_DexCyclo_Cyclo_GSE911";"FC_DEX_MOCK_GSE911";"pfp_DEX_MOCK_GSE911";"P.value_DEX_MOCK_GSE911";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_GSE28062";"P.value_LFYGR_WT_GSE28062"
"253326_at";8426;NA;NA;NA;NA;NA;NA;3.5915;0.0314;"0";4.5438;"0";"0"
"253344_at";8444;0.3388;"0.0233";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"253416_at";8516;3.8655;"0.0207";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"253437_at";8537;NA;NA;NA;NA;NA;NA;0.2325;0.048;"0,0001";0.2168;"0";"0"
"253608_at";8708;NA;NA;NA;NA;NA;NA;0.2315;0.0449;"0,0001";NA;NA;NA
"253628_at";8728;0.477;"0.0818";"0,0005";NA;NA;NA;NA;NA;NA;0.4808;"0.0058";"0,0001"
"253629_at";8729;0.3864;"0.0417";"0,0001";NA;NA;NA;NA;NA;NA;0.3603;"0,0009";"0"
"253660_at";8760;4.299;"0.0113";"0";4.4682;0.0169;"0";2.9057;0.09;"0,0002";NA;NA;NA
"253692_at";8792;NA;NA;NA;4.5342;0.0175;"0";NA;NA;NA;2.9344;"0,0002";"0"
"253697_at";8797;2.5963;"0.0468";"0,0002";NA;NA;NA;NA;NA;NA;0.5401;"0.0099";"0,0003"
"253779_at";8879;2.2196;"0.0782";"0,0005";NA;NA;NA;NA;NA;NA;0.6665;"0.0426";"0.0019"
"253827_at";8927;2.9312;"0.0369";"0,0001";NA;NA;NA;NA;NA;NA;2.9809;"0";"0"
"253829_at";8929;0.3809;"0.0431";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"253872_at";8972;0.4104;"0.0526";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"253887_at";8987;NA;NA;NA;NA;NA;NA;0.2712;0.0771;"0,0002";0.698;"0.0699";"0.0036"
"253915_at";9015;2.6838;"0.0443";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"253957_at";9057;0.2248;"0.0047";"0";NA;NA;NA;NA;NA;NA;0.4302;"0.0031";"0,0001"
"253985_at";9085;0.3947;"0.0463";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254044_at";9144;NA;NA;NA;NA;NA;NA;0.1977;0.0332;"0";NA;NA;NA
"254057_at";9157;0.3943;"0.0425";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254120_at";9220;3.5629;"0.0212";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254174_at";9274;0.3092;"0.0109";"0";NA;NA;NA;0.1147;0.003;"0";0.4014;"0.0019";"0"
"254209_at";9309;0.4948;"0.0924";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254215_at";9315;0.4423;"0.0646";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254232_at";9332;2.7587;"0.0405";"0,0001";NA;NA;NA;NA;NA;NA;0.5345;"0.0092";"0,0002"
"254240_at";9340;0.494;"0.0925";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254283_s_at";9383;2.1228;"0.0824";"0,0005";NA;NA;NA;3.5467;0.0503;"0,0001";NA;NA;NA
"254300_at";9400;NA;NA;NA;3.0498;0.0367;"0,0001";4.2861;0.0262;"0";3.1314;"0";"0"
"254326_at";9426;3.7694;"0.0174";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254361_at";9461;0.4765;"0.0816";"0,0005";NA;NA;NA;NA;NA;NA;1.4608;"0.0446";"0.001"
"254385_s_at";9485;0.4794;"0.0871";"0,0006";NA;NA;NA;4.378;0.026;"0";2.3219;"0,0001";"0"
"254396_at";9496;NA;NA;NA;0.3401;0.0865;"0,0001";NA;NA;NA;0.6932;"0.054";"0.0026"
"254413_at";9513;NA;NA;NA;40.0037;0;"0";NA;NA;NA;NA;NA;NA
"254451_at";9551;2.2305;"0.072";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254504_at";9604;0.1915;"0.0025";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254550_at";9650;2.9247;"0.0403";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254606_at";9706;0.3392;"0.0229";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254773_at";9873;4.7229;"0.0092";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254779_at";9879;0.4832;"0.0896";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254805_at";9905;NA;NA;NA;NA;NA;NA;0.1715;0.0219;"0";0.6627;"0.0511";"0.0024"
"254818_at";9918;NA;NA;NA;NA;NA;NA;0.2685;0.0753;"0,0002";0.2345;"0,0001";"0"
"254820_s_at";9920;0.29;"0.0077";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254828_at";9928;2.0064;"0.0901";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254832_at";9932;2.7757;"0.0392";"0,0001";NA;NA;NA;0.1396;0.009;"0";NA;NA;NA
"254833_s_at";9933;0.2995;"0.0091";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254914_at";10014;NA;NA;NA;NA;NA;NA;0.1948;0.0353;"0,0001";0.0589;"0";"0"
"255127_at";10227;NA;NA;NA;NA;NA;NA;0.1763;0.0213;"0";NA;NA;NA
"255345_at";10445;0.4974;"0.0936";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"255511_at";10611;0.2619;"0.005";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"255524_at";10624;NA;NA;NA;NA;NA;NA;0.2839;0.0922;"0,0003";0.2999;"0,0003";"0"
"255604_at";10704;4.2591;"0.0124";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"255654_at";10754;2.6302;"0.0469";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"255691_at";10791;0.4172;"0.0531";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"255742_at";10842;2.6023;"0.0449";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"255775_at";10875;2.4002;"0.0538";"0,0002";2.5168;0.0817;"0,0002";NA;NA;NA;2.1372;"0,0001";"0"
"255794_at";10894;0.4901;"0.0883";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"255814_at";10914;0.4679;"0.078";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"255822_at";10922;NA;NA;NA;4.1164;0.0233;"0";NA;NA;NA;NA;NA;NA
"256096_at";11196;0.0797;"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"256097_at";11197;NA;NA;NA;NA;NA;NA;0.2333;0.0468;"0,0001";0.333;"0,0005";"0"
"256243_at";11343;2.6084;"0.044";"0,0002";NA;NA;NA;0.2281;0.0456;"0,0001";NA;NA;NA
"256289_s_at";11389;NA;NA;NA;3.4874;0.0633;"0,0001";NA;NA;NA;NA;NA;NA
"256299_at";11399;NA;NA;NA;NA;NA;NA;0.2031;0.0364;"0,0001";0.1748;"0";"0"
"256300_at";11400;NA;NA;NA;0.1992;0.008;"0";NA;NA;NA;0.1215;"0";"0"
"256302_at";11402;0.4557;"0.0762";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA
"256310_at";11410;NA;NA;NA;4.3785;0.0163;"0";NA;NA;NA;3.4019;"0";"0"
"256349_at";11449;NA;NA;NA;0.2939;0.0476;"0";NA;NA;NA;0.4917;"0.0108";"0,0003"
"256455_at";11555;NA;NA;NA;2.725;0.0617;"0,0001";NA;NA;NA;NA;NA;NA
"256459_at";11559;2.295;"0.0597";"0,0003";NA;NA;NA;NA;NA;NA;1.4895;"0.0376";"0,0008"
"256497_at";11597;2.5349;"0.0608";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"256603_at";11703;0.491;"0.0905";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"256681_at";11781;NA;NA;NA;NA;NA;NA;0.3045;0.099;"0,0004";0.3793;"0.0013";"0"
"256736_at";11836;0.3891;"0.0435";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"256891_at";11991;0.235;"0.0044";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"256980_at";12080;0.4566;"0.0764";"0,0004";NA;NA;NA;NA;NA;NA;0.6639;"0.0461";"0.0021"
"256994_s_at";12094;0.5072;"0.0989";"0,0008";NA;NA;NA;NA;NA;NA;NA;NA;NA
"257008_at";12108;2.4191;"0.0507";"0,0002";NA;NA;NA;NA;NA;NA;0.4849;"0.006";"0,0001"
"257062_at";12162;3.0786;"0.0329";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"257066_at";12166;NA;NA;NA;0.2581;0.0311;"0";NA;NA;NA;0.3564;"0,0008";"0"
"257206_at";12306;4.8558;"0.0083";"0";NA;NA;NA;NA;NA;NA;0.4599;"0.004";"0,0001"
"257262_at";12362;NA;NA;NA;3.5108;0.0263;"0";NA;NA;NA;2.9471;"0";"0"
"257481_at";12581;3.3667;"0.028";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"257485_at";12585;NA;NA;NA;3.5637;0.0267;"0";NA;NA;NA;NA;NA;NA
"257506_at";12606;NA;NA;NA;4.9769;0.0162;"0";NA;NA;NA;0.605;"0.0323";"0.0013"
"257516_at";12616;0.3712;"0.0375";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"257642_at";12742;NA;NA;NA;NA;NA;NA;3.9121;0.0258;"0";1.3452;"0.0957";"0.0036"
"257670_at";12770;0.3575;"0.0387";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"257679_at";12779;2.2627;"0.0609";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"257690_at";12790;NA;NA;NA;4.7549;0.017;"0";NA;NA;NA;NA;NA;NA
"257697_at";12797;NA;NA;NA;0.3416;0.0884;"0,0001";NA;NA;NA;NA;NA;NA
"257701_at";12801;NA;NA;NA;NA;NA;NA;0.1777;0.0219;"0";0.3155;"0,0003";"0"
"257761_at";12861;0.4506;"0.0692";"0,0004";NA;NA;NA;NA;NA;NA;0.5592;"0.0183";"0,0006"
"257823_at";12923;0.2956;"0.0097";"0";NA;NA;NA;NA;NA;NA;0.475;"0.0051";"0,0001"
"257830_at";12930;0.4452;"0.0651";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"258005_at";13105;NA;NA;NA;NA;NA;NA;3.6555;0.0334;"0";1.72;"0.0046";"0"
"258063_at";13163;2.4262;"0.0488";"0,0002";NA;NA;NA;NA;NA;NA;0.6916;"0.0805";"0.0043"
"258064_at";13164;0.4793;"0.09";"0,0007";NA;NA;NA;NA;NA;NA;0.6246;"0.0251";"0,0009"
"258080_at";13180;0.4641;"0.0771";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA
"258091_at";13191;0.431;"0.059";"0,0003";NA;NA;NA;0.2547;0.0588;"0,0002";0.2315;"0";"0"
"258151_at";13251;NA;NA;NA;NA;NA;NA;0.2595;0.0641;"0,0002";0.3657;"0.001";"0"
"258184_at";13284;0.4867;"0.087";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"258222_at";13322;NA;NA;NA;NA;NA;NA;0.1249;0.006;"0";0.5607;"0.0137";"0,0004"
"258349_at";13449;0.3422;"0.0249";"0";NA;NA;NA;NA;NA;NA;2.0252;"0,0003";"0"
"258409_at";13509;0.4715;"0.0843";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"258419_at";13519;0.0746;"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"258552_at";13652;NA;NA;NA;NA;NA;NA;0.12;0.0046;"0";0.3552;"0,0008";"0"
"258618_at";13718;3.0357;"0.0338";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"258736_at";13836;0.4981;"0.0929";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"258742_at";13842;NA;NA;NA;3.5052;0.03;"0,0001";5.328;0.012;"0";2.9007;"0,0002";"0"
"258745_at";13845;0.4713;"0.0826";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"258747_at";13847;NA;NA;NA;2.6664;0.0646;"0,0002";NA;NA;NA;2.1249;"0,0002";"0"
"258791_at";13891;2.0529;"0.0825";"0,0005";NA;NA;NA;NA;NA;NA;0.5919;"0.0184";"0,0006"
"258851_at";13951;0.24;"0.0042";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"259015_at";14115;2.8788;"0.0444";"0,0002";4.5672;0.0168;"0";NA;NA;NA;NA;NA;NA
"259104_at";14204;NA;NA;NA;NA;NA;NA;0.2503;0.0521;"0,0001";0.4198;"0.0026";"0"
"259150_at";14250;NA;NA;NA;0.3214;0.0829;"0,0001";NA;NA;NA;NA;NA;NA
"259264_at";14364;0.4267;"0.0587";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"259312_at";14412;2.0138;"0.0908";"0,0006";NA;NA;NA;NA;NA;NA;1.9248;"0,0008";"0"
"259373_at";14473;0.4222;"0.0593";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"259520_at";14620;0.3052;"0.0094";"0";NA;NA;NA;NA;NA;NA;0.3591;"0,0008";"0"
"259596_at";14696;NA;NA;NA;31.2505;0;"0";5.1931;0.0133;"0";4.191;"0";"0"
"259614_at";14714;NA;NA;NA;6.8276;0.0117;"0";NA;NA;NA;1.8076;"0.0022";"0"
"259632_at";14732;2.2773;"0.06";"0,0003";NA;NA;NA;NA;NA;NA;0.3017;"0,0003";"0"
"259640_at";14740;2.6863;"0.042";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"259680_at";14780;NA;NA;NA;NA;NA;NA;0.2936;0.0925;"0,0003";0.1579;"0";"0"
"259790_s_at";14890;NA;NA;NA;24.0537;0;"0";NA;NA;NA;NA;NA;NA
"259794_at";14894;0.4684;"0.0799";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"259839_at";14939;NA;NA;NA;NA;NA;NA;0.249;0.0554;"0,0001";0.2856;"0,0002";"0"
"259842_at";14942;NA;NA;NA;11.9494;0.005;"0";11.5684;0.0017;"0";4.5443;"0";"0"
"259958_at";15058;NA;NA;NA;2.8191;0.0541;"0,0001";NA;NA;NA;1.6963;"0.004";"0"
"259980_at";15080;2.1843;"0.071";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA
"259999_at";15099;3.3256;"0.0294";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"260023_at";15123;NA;NA;NA;NA;NA;NA;3.8886;0.0317;"0";7.3649;"0";"0"
"260070_at";15170;0.3464;"0.0408";"0,0001";0.3041;0.0506;"0";0.1683;0.0203;"0";0.2917;"0,0002";"0"
"260116_at";15216;NA;NA;NA;0.2327;0.0257;"0";NA;NA;NA;NA;NA;NA
"260141_at";15241;2.0799;"0.0794";"0,0005";NA;NA;NA;NA;NA;NA;0.667;"0.061";"0.003"
"260221_at";15321;NA;NA;NA;NA;NA;NA;0.146;0.0113;"0";0.0879;"0";"0"
"260237_at";15337;2.1536;"0.071";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA
"260353_at";15453;3.0534;"0.0321";"0,0001";NA;NA;NA;NA;NA;NA;6.3244;"0";"0"
"260371_at";15471;0.447;"0.0769";"0,0005";NA;NA;NA;NA;NA;NA;0.4297;"0.0027";"0"
"260410_at";15510;NA;NA;NA;0.1796;0.01;"0";0.2069;0.0383;"0,0001";0.1786;"0";"0"
"260475_at";15575;0.4296;"0.0818";"0,0005";NA;NA;NA;NA;NA;NA;0.5612;"0.012";"0,0003"
"260484_at";15584;NA;NA;NA;3.0762;0.0321;"0,0001";NA;NA;NA;NA;NA;NA
"260527_at";15627;0.4672;"0.0768";"0,0005";NA;NA;NA;NA;NA;NA;0.3346;"0,0004";"0"
"260556_at";15656;3.8932;"0.0178";"0";NA;NA;NA;0.2024;0.0366;"0,0001";0.3685;"0.0011";"0"
"260567_at";15667;2.4028;"0.0577";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"260668_at";15768;0.4795;"0.0813";"0,0005";NA;NA;NA;NA;NA;NA;0.5113;"0.0072";"0,0002"
"260693_at";15793;0.4958;"0.0932";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"260840_at";15940;NA;NA;NA;NA;NA;NA;5.8912;0.0108;"0";1.9096;"0.0013";"0"
"260856_at";15956;3.6077;"0.0241";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"260900_s_at";16000;0.4888;"0.0936";"0,0008";NA;NA;NA;NA;NA;NA;NA;NA;NA
"260919_at";16019;2.6541;"0.046";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"260950_s_at";16050;0.3322;"0.022";"0";NA;NA;NA;NA;NA;NA;0.5277;"0.0089";"0,0002"
"261016_at";16116;1.9513;"0.099";"0,0007";NA;NA;NA;NA;NA;NA;0.6033;"0.021";"0,0007"
"261114_at";16214;NA;NA;NA;NA;NA;NA;0.2408;0.0496;"0,0001";0.2506;"0,0002";"0"
"261135_at";16235;2.2586;"0.0817";"0,0005";NA;NA;NA;0.3069;0.0996;"0,0004";NA;NA;NA
"261191_at";16291;NA;NA;NA;3.2286;0.0373;"0,0001";NA;NA;NA;7.6418;"0";"0"
"261221_at";16321;2.7108;"0.0388";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"261224_at";16324;0.2529;"0.0045";"0";NA;NA;NA;0.2309;0.0474;"0,0001";0.0198;"0";"0"
"261247_at";16347;0.5003;"0.0928";"0,0007";NA;NA;NA;NA;NA;NA;0.498;"0.0074";"0,0002"
"261395_at";16495;0.4401;"0.0657";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"261425_at";16525;NA;NA;NA;NA;NA;NA;0.2266;0.0422;"0,0001";0.2129;"0";"0"
"261448_at";16548;0.3717;"0.0378";"0,0001";NA;NA;NA;NA;NA;NA;0.4069;"0.0021";"0"
"261480_at";16580;NA;NA;NA;NA;NA;NA;0.211;0.0392;"0,0001";0.4729;"0.005";"0,0001"
"261598_at";16698;1.9823;"0.0913";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"261638_at";16738;0.4899;"0.0897";"0,0007";NA;NA;NA;NA;NA;NA;1.3446;"0.0796";"0.0027"
"261648_at";16748;3.2864;"0.0298";"0,0001";NA;NA;NA;NA;NA;NA;1.4205;"0.0478";"0.0012"
"261713_at";16813;1.9557;"0.0959";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"261717_at";16817;NA;NA;NA;22.8684;0.002;"0";NA;NA;NA;1.7376;"0.0034";"0"
"261745_at";16845;0.2998;"0.0094";"0";NA;NA;NA;NA;NA;NA;0.399;"0.0017";"0"
"261840_at";16940;NA;NA;NA;9.017;0.0073;"0";9.3241;0.0025;"0";7.67;"0";"0"
"261937_at";17037;2.9121;"0.0367";"0,0001";NA;NA;NA;NA;NA;NA;2.4338;"0,0001";"0"
"262001_at";17101;NA;NA;NA;15.2142;0.0067;"0";NA;NA;NA;NA;NA;NA
"262080_at";17180;0.2261;"0.0047";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"262113_at";17213;0.1903;"0.003";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"262119_s_at";17219;2.9108;"0.037";"0,0001";NA;NA;NA;NA;NA;NA;0.4449;"0.0032";"0,0001"
"262232_at";17332;0.439;"0.0623";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"262236_at";17336;0.4196;"0.0629";"0,0003";NA;NA;NA;NA;NA;NA;0.2362;"0,0001";"0"
"262286_at";17386;0.4731;"0.0812";"0,0005";NA;NA;NA;0.2803;0.0823;"0,0002";NA;NA;NA
"262290_at";17390;NA;NA;NA;NA;NA;NA;0.2138;0.0373;"0,0001";0.641;"0.0605";"0.003"
"262324_at";17424;NA;NA;NA;NA;NA;NA;3.5369;0.0356;"0,0001";1.5081;"0.0258";"0,0005"
"262373_at";17473;2.0221;"0.092";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"262381_at";17481;3.2332;"0.0298";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"262382_at";17482;3.2409;"0.0319";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"262383_at";17483;2.0877;"0.0826";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"262388_at";17488;2.0632;"0.085";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"262516_at";17616;0.4995;"0.0936";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"262608_at";17708;0.5048;"0.0985";"0,0008";NA;NA;NA;NA;NA;NA;1.3483;"0.0895";"0.0032"
"262637_at";17737;0.4745;"0.0803";"0,0005";NA;NA;NA;NA;NA;NA;1.4425;"0.0377";"0,0008"
"262643_at";17743;2.0952;"0.0772";"0,0005";NA;NA;NA;NA;NA;NA;0.3833;"0.0015";"0"
"262760_at";17860;3.1709;"0.0313";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"262831_at";17931;0.4487;"0.0742";"0,0004";NA;NA;NA;NA;NA;NA;0.5204;"0.0092";"0,0002"
"262844_at";17944;NA;NA;NA;NA;NA;NA;0.2913;0.0929;"0,0003";0.2696;"0,0001";"0"
"262868_at";17968;2.1335;"0.0722";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA
"263096_at";18196;NA;NA;NA;NA;NA;NA;0.2679;0.0766;"0,0002";NA;NA;NA
"263120_at";18220;0.462;"0.0756";"0,0004";NA;NA;NA;NA;NA;NA;0.6334;"0.0267";"0.001"
"263216_s_at";18316;3.0252;"0.0333";"0,0001";NA;NA;NA;NA;NA;NA;5.3308;"0";"0"
"263236_at";18336;NA;NA;NA;0.3538;0.0897;"0,0001";NA;NA;NA;1.9355;"0,0006";"0"
"263249_at";18349;NA;NA;NA;2.7446;0.0544;"0,0001";NA;NA;NA;1.5208;"0.0183";"0,0003"
"263421_at";18521;2.0149;"0.0917";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"263443_at";18543;2.2767;"0.0708";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA
"263452_at";18552;NA;NA;NA;13.0777;0.005;"0";6.6574;0.0083;"0";2.9355;"0,0002";"0"
"263467_at";18567;NA;NA;NA;3.9448;0.0238;"0";NA;NA;NA;1.5204;"0.0193";"0,0003"
"263498_at";18598;0.477;"0.0818";"0,0006";NA;NA;NA;NA;NA;NA;0.4637;"0.0046";"0,0001"
"263595_at";18695;2.0607;"0.081";"0,0005";3.4033;0.0292;"0,0001";NA;NA;NA;0.3952;"0.0019";"0"
"263765_at";18865;0.4941;"0.0928";"0,0008";NA;NA;NA;NA;NA;NA;1.3393;"0.0917";"0.0033"
"263787_at";18887;2.5345;"0.046";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"263830_at";18930;0.4898;"0.0898";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"263831_at";18931;0.4667;"0.0781";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"263876_at";18976;0.3528;"0.0427";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"263935_at";19035;2.4217;"0.054";"0,0003";NA;NA;NA;3.9688;0.0307;"0";1.3576;"0.0809";"0.0027"
"263985_at";19085;2.1283;"0.0776";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"264000_at";19100;2.3525;"0.0537";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"264091_at";19191;NA;NA;NA;NA;NA;NA;3.0358;0.0693;"0,0001";NA;NA;NA
"264148_at";19248;2.5207;"0.0479";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"264157_at";19257;0.2049;"0.0023";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"264209_at";19309;0.4577;"0.0773";"0,0004";NA;NA;NA;NA;NA;NA;1.6736;"0.0056";"0,0001"
"264261_at";19361;NA;NA;NA;NA;NA;NA;0.1691;0.0196;"0";NA;NA;NA
"264319_at";19419;0.4915;"0.0943";"0,0008";NA;NA;NA;NA;NA;NA;NA;NA;NA
"264342_at";19442;0.4676;"0.0769";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"264370_at";19470;NA;NA;NA;14.5348;0.005;"0";7.1064;0.0045;"0";1.5592;"0.021";"0,0003"
"264390_at";19490;0.4067;"0.05";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"264507_at";19607;0.4023;"0.0467";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"264590_at";19690;0.436;"0.0592";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"264729_at";19829;2.3384;"0.0603";"0,0003";NA;NA;NA;NA;NA;NA;NA;NA;NA
"264751_at";19851;4.6026;"0.01";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"264824_at";19924;0.4019;"0.0454";"0,0002";NA;NA;NA;NA;NA;NA;2.3872;"0,0001";"0"
"264866_at";19966;NA;NA;NA;NA;NA;NA;7.983;0.003;"0";NA;NA;NA
"264899_at";19999;0.4946;"0.094";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"264923_s_at";20023;0.3287;"0.0218";"0";NA;NA;NA;NA;NA;NA;0.4522;"0.0047";"0,0001"
"264945_at";20045;0.4924;"0.0964";"0,0008";NA;NA;NA;NA;NA;NA;NA;NA;NA
"265029_at";20129;NA;NA;NA;2.4114;0.0931;"0,0002";3.7157;0.0339;"0";NA;NA;NA
"265048_at";20148;0.5016;"0.0928";"0,0008";NA;NA;NA;NA;NA;NA;NA;NA;NA
"265053_at";20153;2.5181;"0.0482";"0,0002";NA;NA;NA;NA;NA;NA;0.6714;"0.0415";"0.0018"
"265111_at";20211;0.4718;"0.0807";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"265136_at";20236;0.4654;"0.0854";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"265160_at";20260;0.4837;"0.0855";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"265208_at";20308;NA;NA;NA;NA;NA;NA;0.209;0.0383;"0,0001";NA;NA;NA
"265246_at";20346;0.3913;"0.0452";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"265359_at";20459;0.4112;"0.0547";"0,0002";NA;NA;NA;NA;NA;NA;0.3987;"0.002";"0"
"265414_at";20514;0.3556;"0.0317";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"265482_at";20582;NA;NA;NA;0.2483;0.035;"0";NA;NA;NA;NA;NA;NA
"265501_at";20601;2.1408;"0.0715";"0,0004";NA;NA;NA;NA;NA;NA;0.4141;"0.0026";"0"
"265539_at";20639;0.3035;"0.0154";"0";NA;NA;NA;0.2111;0.04;"0,0001";NA;NA;NA
"265545_at";20645;0.4033;"0.0537";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"265615_at";20715;4.8936;"0.0092";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"265633_at";20733;NA;NA;NA;3.8294;0.0213;"0";3.4939;0.033;"0";2.5927;"0,0001";"0"
"265665_at";20765;0.4196;"0.0529";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"265724_at";20824;2.0733;"0.0806";"0,0005";2.897;0.047;"0,0001";NA;NA;NA;1.5788;"0.016";"0,0002"
