"ath1_probe";"probe_target_number";"FC_35LFY_Ler_GSE911";"pfp_35LFY_Ler_GSE911";"P.value_35LFY_Ler_GSE911";"FC_DexCyclo_Cyclo_GSE911";"pfp_FC_DexCyclo_Cyclo_GSE911";"P.value_FC_DexCyclo_Cyclo_GSE911";"FC_DEX_MOCK_GSE911";"pfp_DEX_MOCK_GSE911";"P.value_DEX_MOCK_GSE911";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_GSE28062";"P.value_LFYGR_WT_GSE28062"
"246978_at";2078;NA;NA;NA;5.4541;0.017;"0";NA;NA;NA;1.5646;"0.0257";"0,0005"
"246987_at";2087;1.9492;"0.1";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"246991_at";2091;NA;NA;NA;NA;NA;NA;0.1745;0.0178;"0";NA;NA;NA
"247001_at";2101;3.1188;"0.0317";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"247136_at";2236;0.2414;"0.0045";"0";NA;NA;NA;NA;NA;NA;0.7194;"0.0777";"0.0041"
"247170_at";2270;0.4853;"0.0938";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"247288_at";2388;NA;NA;NA;NA;NA;NA;0.2328;0.0475;"0,0001";0.4629;"0.0047";"0,0001"
"247327_at";2427;2.7278;"0.0399";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"247337_at";2437;0.3908;"0.0446";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"247443_at";2543;0.4943;"0.0935";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"247444_at";2544;2.1866;"0.0704";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA
"247474_at";2574;0.2424;"0.0043";"0";0.3038;0.0506;"0";0.1222;0.0064;"0";0.134;"0";"0"
"247487_at";2587;2.0754;"0.0789";"0,0005";NA;NA;NA;4.8561;0.0148;"0";1.3682;"0.0653";"0.0019"
"247533_at";2633;NA;NA;NA;2.634;0.0624;"0,0002";NA;NA;NA;NA;NA;NA
"247586_at";2686;0.4141;"0.0529";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"247628_at";2728;0.4747;"0.081";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"247685_at";2785;2.7252;"0.0463";"0,0002";NA;NA;NA;10.273;0.0014;"0";NA;NA;NA
"247713_at";2813;0.2952;"0.0197";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"247755_at";2855;0.4256;"0.0567";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"247780_at";2880;0.1931;"0.0027";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"247800_at";2900;0.4925;"0.0929";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"247812_at";2912;NA;NA;NA;NA;NA;NA;0.1172;0.005;"0";0.423;"0.0026";"0"
"247814_at";2914;4.5322;"0.0122";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"247878_at";2978;0.1169;"0";"0";NA;NA;NA;0.0741;0;"0";0.4133;"0.0026";"0"
"247880_at";2980;NA;NA;NA;NA;NA;NA;0.2883;0.0899;"0,0003";0.1915;"0";"0"
"247925_at";3025;2.5738;"0.047";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"247965_at";3065;0.3849;"0.0427";"0,0001";NA;NA;NA;NA;NA;NA;0.6071;"0.0261";"0.001"
"247995_at";3095;NA;NA;NA;5.2635;0.0163;"0";NA;NA;NA;2.4438;"0,0001";"0"
"248006_at";3106;2.8962;"0.0369";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"248007_at";3107;0.5024;"0.0941";"0,0008";NA;NA;NA;NA;NA;NA;NA;NA;NA
"248048_at";3148;2.171;"0.0784";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"248062_at";3162;NA;NA;NA;0.2692;0.0367;"0";0.0234;0;"0";0.3498;"0,0006";"0"
