Model_name;Type;Short_description;Curator_summary;Computational_description;probe_name;probe_target_number;FC_LFY.GR_Col_GSE28062;pfp;P.value;FC_SP3_Col;pfp;P.value;FC_SP1_Col;pfp;P.value;FC_35LFY_Ler_GSE911;pfp;P.value;FC_Dex_Mock_GSE911;pfp;P.value;FC_DexCyclo_Cyclo_GSE911;pfp;P.value;FC_Col.12DAF_lfy.12DAF;pfp;P.value;FC_Col.7DAF_lfy.7DAF;pfp;P.value;FC_Col.5DAF_lfy.5DAF;pfp;P.value;FC_Col.3DAF_lfy.3DAF;pfp;P.value
LFY-GR_vs_WT_GSE28062;;;;;260618_at;;0.5208;0.0089;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;260950_s_at;;0.5277;0.0089;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;265420_s_at;;0.5045;0.0089;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;260199_at;;0.5297;0.0089;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253053_at;;0.5302;0.0089;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;262278_at;;0.5291;0.0091;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;250746_at;;0.4939;0.009;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;249580_at;;0.5332;0.0091;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;262831_at;;0.5204;0.0092;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;254292_at;;0.5256;0.0092;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;257927_at;;0.5105;0.0093;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;259021_at;;0.5294;0.0093;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;250566_at;;0.5309;0.0093;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;254362_at;;0.5354;0.0093;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;255876_at;;0.5021;0.0092;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;254232_at;;0.5345;0.0092;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;261212_at;;0.5332;0.0092;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;257232_at;;0.5331;0.0092;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;262819_at;;0.5347;0.0093;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;260876_at;;0.5337;0.0094;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;259845_at;;0.518;0.0095;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;251895_at;;0.5282;0.0095;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;246021_at;;0.5304;0.0095;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;251594_at;;0.5234;0.0097;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;260774_at;;0.54;0.0099;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;259811_at;;0.4959;0.0099;2,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253697_at;;0.5401;0.0099;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;263207_at;;0.5251;0.01;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;250600_at;;0.5401;0.0099;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;245901_at;;0.5324;0.01;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;247199_at;;0.5372;0.01;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;250366_at;;0.5368;0.01;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253402_at;;0.5363;0.01;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;267367_at;;0.5317;0.0101;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;246519_at;;0.5351;0.01;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;245821_at;;0.5404;0.0101;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;248104_at;;0.5301;0.0101;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;266873_at;;0.5343;0.0102;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;257949_at;;0.5262;0.0101;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;250323_at;;0.5437;0.0102;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;252863_at;;0.5437;0.0103;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;245329_at;;0.5007;0.0103;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;248263_at;;0.5457;0.0104;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253217_at;;0.5484;0.0104;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;261883_at;;0.5206;0.0106;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;260639_at;;0.5397;0.0107;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;245662_at;;0.5397;0.0106;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;262978_at;;0.5412;0.0107;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;257467_at;;0.5128;0.0107;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;257974_at;;0.5472;0.0107;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;256349_at;;0.4917;0.0108;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;266327_at;;0.5375;0.0108;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;248619_at;;0.5339;0.0108;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;265170_at;;0.5483;0.0108;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;247399_at;;0.5456;0.0109;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;266996_at;;0.5468;0.011;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;258300_at;;0.5498;0.0111;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;245088_at;;0.5464;0.0111;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;258255_at;;0.5444;0.0111;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;257600_at;;0.5528;0.011;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253875_at;;0.5502;0.011;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;266265_at;;0.5502;0.011;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;265679_at;;0.5495;0.011;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;254948_at;;0.5318;0.011;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;262811_at;;0.5519;0.0111;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;248246_at;;0.5447;0.0111;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;246133_at;;0.5426;0.0111;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;255842_at;;0.5384;0.0112;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;258516_at;;0.5452;0.0113;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;262842_at;;0.5545;0.0114;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;252992_at;;0.5524;0.0114;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;260676_at;;0.5538;0.0114;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;251039_at;;0.5544;0.0114;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;267271_at;;0.5522;0.0114;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;256598_at;;0.5426;0.0114;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;260297_at;;0.5472;0.0115;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;265250_at;;0.5534;0.0116;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;266172_at;;0.5568;0.0116;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;264006_at;;0.5573;0.0116;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;254610_at;;0.5341;0.0117;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;258919_at;;0.5492;0.0117;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;267006_at;;0.5487;0.0116;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;247066_at;;0.5275;0.0117;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;254710_at;;0.5217;0.0117;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;258196_at;;0.5463;0.0117;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;264458_at;;0.5598;0.0119;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;267256_s_at;;0.55;0.0119;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;266118_at;;0.5533;0.0119;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;262609_at;;0.5565;0.0119;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;260637_at;;0.5607;0.012;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;258259_s_at;;0.5585;0.012;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;267230_at;;0.5613;0.012;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;260475_at;;0.5612;0.012;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;257922_at;;0.5602;0.0122;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;264894_at;;0.5552;0.0124;3,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;250152_at;;0.5597;0.0124;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253088_at;;0.5486;0.0124;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;245393_at;;0.5531;0.0124;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;267141_at;;0.5452;0.0126;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;259994_at;;0.5556;0.0127;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;246231_at;;0.555;0.0127;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;249109_at;;0.5603;0.0127;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;265030_at;;0.5467;0.0127;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;267117_at;;0.5469;0.0127;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;263325_at;;0.5648;0.013;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;261845_at;;0.5469;0.013;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;256120_at;;0.4864;0.013;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;264960_at;;0.5551;0.013;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253620_at;;0.5647;0.013;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;262490_at;;0.5676;0.013;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;265872_at;;0.5612;0.0131;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;245143_at;;0.566;0.0131;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;266302_at;;0.5612;0.0131;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;254633_at;;0.5671;0.0131;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;248172_at;;0.5622;0.0132;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;263847_at;;0.5432;0.0132;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;257137_at;;0.5662;0.0133;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253617_at;;0.5704;0.0133;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;257543_at;;0.5257;0.0133;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;250062_at;;0.5354;0.0135;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;258222_at;;0.5607;0.0137;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;261382_at;;0.5518;0.0137;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;267644_s_at;;0.5719;0.0137;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;256237_at;;0.5693;0.0138;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;260220_at;;0.5343;0.0141;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;251302_at;;0.5642;0.0141;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;264701_at;;0.5743;0.0141;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;263031_at;;0.568;0.0141;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;251169_at;;0.5654;0.0144;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;251272_at;;0.5755;0.0145;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;257295_at;;0.5718;0.0145;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;250045_at;;0.5726;0.0145;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;247589_at;;0.5769;0.0146;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;254609_at;;0.5754;0.0147;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;260957_at;;0.5764;0.0147;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;262662_at;;0.5451;0.0149;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253493_at;;0.5787;0.0149;4,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;251782_at;;0.5651;0.015;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;262121_at;;0.5683;0.015;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;264204_at;;0.5745;0.0151;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;263931_at;;0.5694;0.0151;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;247679_at;;0.578;0.0151;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;258002_at;;0.5792;0.0151;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;246205_at;;0.5816;0.0151;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;248820_at;;0.5816;0.0151;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;246236_at;;0.5803;0.0151;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;265573_at;;0.5695;0.0151;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;259200_at;;0.5534;0.0152;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;259386_at;;0.5732;0.0153;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;259753_at;;0.5782;0.0154;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;261675_at;;0.555;0.0154;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;249459_at;;0.5677;0.0155;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;249668_at;;0.5591;0.0155;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;251476_at;;0.5762;0.0156;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;252963_at;;0.5777;0.0156;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;261618_at;;0.5748;0.0157;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;254037_at;;0.551;0.0158;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253249_at;;0.5787;0.0157;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;246346_at;;0.5657;0.0158;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;265656_at;;0.5808;0.0158;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253911_at;;0.5796;0.0158;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253650_at;;0.5854;0.0159;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;248028_at;;0.5867;0.016;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;258487_at;;0.5736;0.0161;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;263379_at;;0.5756;0.0162;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253732_at;;0.5707;0.0162;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;246777_at;;0.5802;0.0161;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;264721_at;;0.5796;0.0162;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;257643_at;;0.5715;0.0163;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;255955_at;;0.5766;0.0162;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;252291_s_at;;0.5882;0.0164;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;260889_at;;0.5815;0.0165;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;265955_at;;0.5843;0.0165;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253746_at;;0.5664;0.0168;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;249008_at;;0.582;0.0169;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;255825_at;;0.5794;0.017;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253103_at;;0.5135;0.017;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;249911_at;;0.5715;0.017;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;259445_at;;0.5719;0.017;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;258326_at;;0.5693;0.017;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253815_at;;0.569;0.017;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;257610_at;;0.5854;0.0171;5,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;266989_at;;0.5875;0.0173;6,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;246802_at;;0.564;0.0174;6,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;251555_at;;0.5909;0.0175;6,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;249057_at;;0.5953;0.0176;6,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;258913_at;;0.5712;0.0177;6,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;267028_at;;0.59;0.0177;6,00E-04;;;;;;;;;;;;;;;;;;;;;;;;;;;
