"ath1_probe";"probe_target_number";"FC_35LFY_vs_LER";"pfp_35LFY_vs_LER_down";"P.value_35LFY_vs_LER_down";"pfp_35LFY_vs_LER_up";"P.value_35LFY_vs_LER_up"
"244901_at";"1";"1.002";"0.9751";"0.7012";"1.2908";"0.4687"
"244902_at";"2";"1";"0.9767";"0.698";"1.2857";"0.4945"
"244903_at";"3";"1.3076";"1.03";"0.9908";"0.5422";"0.0242"
"244904_at";"4";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244905_at";"5";"1";"0.9758";"0.6922";"1.2871";"0.484"
"244906_at";"6";"1.4374";"1.0643";"0.938";"0.4466";"0.0147"
"244907_at";"7";"1";"1.3361";"0.4906";"1.302";"0.5152"
"244908_at";"8";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244909_at";"9";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244910_s_at";"10";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244911_at";"11";"0.9686";"1.2467";"0.3308";"0.9933";"0.7806"
"244912_at";"12";"1.2474";"1.0506";"0.9729";"0.6308";"0.0426"
"244913_at";"13";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244914_at";"14";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244915_s_at";"15";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244916_at";"16";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244917_at";"17";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244918_at";"18";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244919_at";"19";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244920_s_at";"20";"1.2583";"1.0505";"0.973";"0.6104";"0.0381"
"244921_s_at";"21";"1.2725";"1.038";"0.9852";"0.5896";"0.0328"
"244922_s_at";"22";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244923_s_at";"23";"1.0017";"0.9735";"0.7066";"1.2885";"0.4813"
"244924_at";"24";"1.0177";"0.9335";"0.6505";"1.1985";"0.34"
"244925_at";"25";"1.0369";"0.9873";"0.7635";"1.2337";"0.3752"
"244926_s_at";"26";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244927_at";"27";"1.0074";"1.346";"0.5128";"1.2906";"0.5037"
"244928_s_at";"28";"1.0475";"1.0281";"0.839";"1.088";"0.262"
"244929_at";"29";"1.0284";"1.402";"0.5681";"1.2865";"0.4403"
"244930_at";"30";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244931_at";"31";"1.0217";"0.978";"0.7378";"1.2516";"0.3918"
"244932_at";"32";"0.8934";"0.9603";"0.1551";"1.2908";"0.4701"
"244933_at";"33";"1.185";"1.0572";"0.9609";"0.703";"0.0637"
"244934_at";"34";"0.9307";"1.0481";"0.199";"1.2912";"0.4521"
"244935_at";"35";"0.9989";"1.3553";"0.525";"1.3407";"0.5713"
"244936_at";"36";"0.9889";"1.3014";"0.4031";"1.2918";"0.4547"
"244937_at";"37";"1.8111";"1.014";"0.9986";"0.1653";"0.0019"
"244938_at";"38";"1.2346";"1.0405";"0.9834";"0.6326";"0.0439"
"244939_at";"39";"1.0353";"1.2789";"0.3668";"1.1447";"0.2991"
"244940_at";"40";"1.0495";"1.3051";"0.4083";"1.1385";"0.2944"
"244941_at";"41";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244942_at";"42";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244943_at";"43";"1.0247";"0.9487";"0.6636";"1.2744";"0.4196"
"244944_s_at";"44";"1.1695";"1.0628";"0.944";"0.728";"0.0696"
"244945_at";"45";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244946_at";"46";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244947_at";"47";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244948_at";"48";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244949_at";"49";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244950_at";"50";"1.1371";"1.0654";"0.9226";"0.7942";"0.0922"
"244951_s_at";"51";"1.3864";"1.0613";"0.9003";"0.5245";"0.0221"
"244952_at";"52";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244953_s_at";"53";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244954_s_at";"54";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244955_at";"55";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244956_s_at";"56";"0.9096";"1.0384";"0.1934";"1.0111";"0.8267"
"244957_at";"57";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244958_at";"58";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244959_s_at";"59";"1.6457";"1.0177";"0.9978";"0.2278";"0.0036"
"244960_at";"60";"0.7949";"0.6663";"0.053";"0.9851";"0.7317"
"244961_at";"61";"1.0877";"1.0651";"0.9147";"0.9585";"0.1752"
"244962_at";"62";"1.0078";"1.3245";"0.4724";"1.2853";"0.4976"
"244963_at";"63";"1.139";"1.0645";"0.9366";"0.8069";"0.0971"
"244964_at";"64";"1.1199";"1.0645";"0.9345";"0.8395";"0.1119"
"244965_at";"65";"0.892";"0.8881";"0.1219";"1.364";"0.5992"
"244966_at";"66";"1.0812";"1.3151";"0.4597";"0.9891";"0.1924"
"244967_at";"67";"0.8802";"0.8919";"0.1229";"0.897";"0.6515"
"244968_at";"68";"0.6712";"0.3534";"0.0099";"1.0349";"0.9901"
"244969_at";"69";"0.594";"0.2127";"0.0034";"1.0185";"0.9978"
"244970_at";"70";"1.2977";"1.029";"0.9914";"0.5463";"0.0253"
"244971_at";"71";"1.0349";"0.9742";"0.7034";"1.2134";"0.353"
"244972_at";"72";"1.0266";"1.3064";"0.4352";"1.2535";"0.3938"
"244973_at";"73";"0.8988";"0.9345";"0.1425";"0.9376";"0.6856"
"244974_at";"74";"1.1809";"1.0555";"0.9647";"0.7466";"0.0759"
"244975_at";"75";"0.9966";"1.296";"0.3925";"1.2745";"0.4199"
"244976_at";"76";"0.9721";"1.2222";"0.3097";"0.9629";"0.7076"
"244977_at";"77";"0.7819";"0.5823";"0.0365";"1.0528";"0.968"
"244978_at";"78";"1.2799";"1.0415";"0.9821";"0.5688";"0.0286"
"244979_at";"79";"1.572";"1.0131";"0.9989";"0.2266";"0.0036"
"244980_at";"80";"1.6869";"1.0117";"0.9992";"0.1752";"0.0022"
"244981_at";"81";"1.4664";"1.0386";"0.9848";"0.3733";"0.01"
"244982_at";"82";"0.8688";"0.8816";"0.1195";"1.0105";"0.8257"
"244983_at";"83";"0.9482";"1.1446";"0.2567";"1.2843";"0.4348"
"244984_at";"84";"1.0165";"1.2877";"0.3822";"1.1649";"0.3114"
"244985_at";"85";"1.1159";"1.3608";"0.5337";"0.9444";"0.1684"
"244986_at";"86";"0.9188";"1.0175";"0.1833";"0.9523";"0.698"
"244987_s_at";"87";"1.1106";"1.0641";"0.9406";"0.8878";"0.1361"
"244988_s_at";"88";"1.1344";"1.0636";"0.9411";"0.8173";"0.102"
"244989_s_at";"89";"1.0348";"1.0195";"0.8247";"1.1499";"0.3019"
"244990_s_at";"90";"2.0735";"1.0176";"0.9978";"0.1169";"0.001"
"244991_s_at";"91";"1.0554";"1.3641";"0.5381";"1.1711";"0.3158"
"244992_s_at";"92";"1.0377";"0.9735";"0.7079";"1.1707";"0.3155"
"244993_s_at";"93";"1.6211";"1.0217";"0.9962";"0.2426";"0.004"
"244994_at";"94";"0.8788";"0.8744";"0.1164";"1.0457";"0.8991"
"244995_at";"95";"0.8454";"0.8067";"0.0887";"1.0139";"0.8326"
"244996_at";"96";"1.0671";"0.9822";"0.7495";"1.0516";"0.236"
"244997_at";"97";"1.2227";"1.0548";"0.9671";"0.6613";"0.0509"
"244998_at";"98";"1.4905";"1.0226";"0.9957";"0.3208";"0.0073"
"244999_at";"99";"1.1698";"1.0553";"0.9658";"0.7487";"0.0765"
"245000_at";"100";"1.119";"1.056";"0.8843";"0.8807";"0.1316"
"245001_at";"101";"0.8885";"0.9017";"0.129";"0.9377";"0.6858"
"245002_at";"102";"0.8425";"0.7895";"0.0842";"0.9882";"0.7664"
"245003_at";"103";"0.5682";"0.1745";"0.0021";"1.0107";"0.9994"
"245004_at";"104";"0.6267";"0.2674";"0.0052";"1.0191";"0.9976"
"245005_at";"105";"1.0342";"0.9747";"0.7029";"1.1693";"0.3146"
"245006_at";"106";"0.9013";"0.8865";"0.1211";"1.0564";"0.9412"
"245007_at";"107";"1.0076";"0.904";"0.1307";"0.8672";"0.1243"
"245008_at";"108";"1.1372";"1.064";"0.9406";"0.842";"0.1134"
"245009_at";"109";"1.1637";"1.0555";"0.9651";"0.77";"0.0833"
"245010_at";"110";"0.8217";"0.7109";"0.0628";"1.0003";"0.8"
"245011_at";"111";"0.8057";"0.6933";"0.0588";"1.0061";"0.8137"
"245012_at";"112";"0.8143";"0.7007";"0.0602";"0.9204";"0.6707"
"245013_at";"113";"0.9381";"1.1126";"0.2358";"0.9933";"0.7807"
"245014_at";"114";"0.982";"1.3081";"0.4152";"1.3088";"0.5264"
"245015_at";"115";"0.9108";"1.0328";"0.1909";"1.299";"0.5113"
"245016_at";"116";"1.0111";"1.0864";"0.2201";"1.0189";"0.2128"
"245017_at";"117";"0.8975";"0.8701";"0.1143";"1.0569";"0.9526"
"245018_at";"118";"1.3146";"1.0428";"0.9806";"0.5563";"0.0264"
"245019_at";"119";"1.1702";"1.0547";"0.9672";"0.7507";"0.0775"
"245020_at";"120";"1.1704";"1.0588";"0.9565";"0.7317";"0.0703"
"245021_at";"121";"0.975";"1.1827";"0.278";"1.1822";"0.3238"
"245022_at";"122";"0.9411";"1.076";"0.2155";"1.1974";"0.338"
"245023_at";"123";"0.7547";"0.5056";"0.0246";"1.0352";"0.99"
"245024_at";"124";"0.785";"0.5678";"0.0339";"1.0423";"0.9842"
"245025_at";"125";"0.8409";"0.715";"0.0653";"1.054";"0.9651"
"245026_at";"126";"0.7119";"0.4206";"0.0145";"1.0286";"0.9936"
"245027_at";"127";"0.7974";"0.5856";"0.0374";"1.0402";"0.9869"
"245028_at";"128";"0.9674";"1.1891";"0.2817";"1.0225";"0.8535"
"245029_at";"129";"0.6645";"0.3112";"0.0074";"1.0181";"0.9979"
"245030_at";"130";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245031_at";"131";"0.8592";"0.8233";"0.0947";"1.0543";"0.9223"
"245032_at";"132";"0.9708";"1.2789";"0.3676";"1.3022";"0.516"
"245033_at";"133";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245034_at";"134";"1.2857";"1.0411";"0.8583";"0.6662";"0.0518"
"245035_at";"135";"0.8331";"0.7651";"0.0783";"1.0447";"0.8949"
"245036_at";"136";"0.9787";"1.274";"0.3607";"0.989";"0.7683"
"245037_at";"137";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245038_at";"138";"3.7117";"1.0015";"1";"0.0192";"0"
"245039_at";"139";"0.907";"0.9078";"0.1327";"1.0529";"0.9192"
"245040_at";"140";"0.8769";"0.8747";"0.1162";"1.0482";"0.9063"
"245041_at";"141";"3.2288";"1.003";"1";"0.0313";"0.0001"
"245042_at";"142";"1.0824";"0.9933";"0.7766";"1.0123";"0.2069"
"245043_at";"143";"1.146";"0.9841";"0.7556";"0.8764";"0.1296"
"245044_at";"144";"0.898";"0.8749";"0.1161";"1.0577";"0.9503"
"245045_at";"145";"1.0548";"0.9886";"0.767";"1.1705";"0.3153"
"245046_at";"146";"0.9822";"1.2702";"0.3557";"0.9857";"0.739"
"245047_at";"147";"0.8888";"0.9143";"0.135";"0.9849";"0.7501"
"245048_at";"148";"0.893";"0.8745";"0.116";"1.0546";"0.9252"
"245049_at";"149";"1.1417";"0.9128";"0.6337";"0.7771";"0.0861"
"245050_at";"150";"0.8334";"0.7439";"0.0712";"0.9858";"0.7567"
"245051_at";"151";"1.0497";"0.8955";"0.6191";"1.0298";"0.2212"
"245052_at";"152";"1.7661";"1.0088";"0.9996";"0.1442";"0.0014"
"245053_at";"153";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245054_at";"154";"1.0961";"1.3065";"0.4239";"0.9158";"0.1535"
"245055_at";"155";"1.0312";"1.0151";"0.8175";"1.1571";"0.306"
"245056_at";"156";"0.9904";"1.3005";"0.402";"0.9851";"0.7495"
"245057_at";"157";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245058_at";"158";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245059_at";"159";"1.2155";"1.0475";"0.9773";"0.6773";"0.0543"
"245060_at";"160";"1.1698";"1.0599";"0.9515";"0.7818";"0.0878"
"245061_at";"161";"1.0046";"1.3343";"0.4875";"1.2893";"0.4907"
"245062_at";"162";"1.0288";"1.3438";"0.506";"1.2877";"0.4447"
"245063_at";"163";"1.2761";"1.0252";"0.8341";"0.6692";"0.0528"
"245064_at";"164";"1.0069";"1.3386";"0.4944";"1.2874";"0.4819"
"245065_at";"165";"1.4582";"1.024";"0.9948";"0.3464";"0.0088"
"245066_at";"166";"1.0208";"1.3735";"0.5482";"1.2881";"0.5013"
"245067_at";"167";"1.2482";"1.0365";"0.9862";"0.6174";"0.04"
"245068_at";"168";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245069_at";"169";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245070_at";"170";"1.0186";"0.9763";"0.7332";"1.2619";"0.4023"
"245071_at";"171";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245072_s_at";"172";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245073_at";"173";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245074_at";"174";"0.9058";"1.07";"0.2103";"1.312";"0.5314"
"245075_at";"175";"0.9981";"1.1289";"0.2453";"1.1094";"0.2747"
"245076_at";"176";"0.6423";"0.2726";"0.0055";"1.0158";"0.9984"
"245077_at";"177";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245078_at";"178";"0.9245";"1.0193";"0.1844";"1.0384";"0.881"
"245079_at";"179";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245080_at";"180";"0.9878";"1.2982";"0.3972";"0.9879";"0.766"
"245081_at";"181";"1.1046";"1.0537";"0.8794";"0.9343";"0.1616"
"245082_at";"182";"1.192";"1.3068";"0.4189";"0.7375";"0.0723"
"245083_at";"183";"1.1888";"1.0512";"0.9716";"0.7306";"0.0702"
"245084_at";"184";"0.7738";"0.5387";"0.0286";"1.0361";"0.9895"
"245085_at";"185";"1.0914";"1.0652";"0.9167";"0.916";"0.1536"
"245086_at";"186";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245087_at";"187";"0.9905";"1.3009";"0.4025";"0.985";"0.7492"
"245088_at";"188";"0.8349";"0.7072";"0.0616";"1.0557";"0.9556"
"245089_at";"189";"1.1032";"1.0649";"0.9139";"0.8771";"0.129"
"245090_at";"190";"1.0026";"0.9855";"0.7596";"1.2714";"0.4148"
"245091_at";"191";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245092_at";"192";"1.0737";"0.9758";"0.7322";"1.0413";"0.2292"
"245093_at";"193";"1.0167";"0.9723";"0.6871";"1.237";"0.3771"
"245094_at";"194";"1.1343";"1.0619";"0.9468";"0.8279";"0.1054"
"245095_at";"195";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245096_at";"196";"0.7789";"0.5474";"0.031";"1.0406";"0.9863"
"245097_at";"197";"1.1264";"1.3697";"0.5449";"0.9904";"0.194"
"245098_at";"198";"0.8943";"0.9324";"0.1414";"0.9982";"0.7911"
"245099_at";"199";"1.1161";"1.0653";"0.9274";"0.8468";"0.1155"
"245100_at";"200";"0.9724";"1.287";"0.3792";"1.3277";"0.5542"
"245101_at";"201";"1.1493";"1.0576";"0.9602";"0.8065";"0.0969"
"245102_at";"202";"1.0038";"0.986";"0.7615";"1.2638";"0.4037"
"245103_at";"203";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245104_at";"204";"1.0257";"0.9754";"0.6911";"1.2407";"0.3801"
"245105_at";"205";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245106_at";"206";"0.7279";"0.4456";"0.0169";"1.0263";"0.9947"
"245107_at";"207";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245108_at";"208";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245109_at";"209";"1.0546";"1.0598";"0.8938";"1.0174";"0.2117"
"245110_at";"210";"0.9866";"1.2468";"0.3306";"1.0093";"0.8212"
"245111_at";"211";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245112_at";"212";"0.9674";"1.2027";"0.2906";"0.9475";"0.6939"
"245113_at";"213";"0.8663";"0.9463";"0.148";"1.3535";"0.5878"
"245114_at";"214";"1.0993";"1.0042";"0.7989";"1.0282";"0.2203"
"245115_at";"215";"1.0127";"1.3597";"0.5301";"1.302";"0.5159"
"245116_at";"216";"0.9165";"0.9373";"0.1441";"0.9211";"0.6713"
"245117_at";"217";"1.0208";"1.3458";"0.51";"1.2889";"0.4739"
"245118_at";"218";"0.9855";"1.2724";"0.3545";"0.9547";"0.7002"
"245119_at";"219";"1.5826";"1.0123";"0.9991";"0.2254";"0.0035"
"245120_at";"220";"1.1121";"0.8854";"0.6106";"1.0659";"0.2466"
"245121_at";"221";"0.9225";"0.9462";"0.1485";"1.0552";"0.931"
"245122_at";"222";"1.1004";"0.9735";"0.7091";"0.9782";"0.1874"
"245123_at";"223";"0.7873";"0.5633";"0.0331";"1.0378";"0.9879"
"245124_at";"224";"1.0341";"0.9639";"0.6782";"1.1782";"0.3206"
"245125_at";"225";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245126_at";"226";"1.1902";"1.0586";"0.9573";"0.6967";"0.0608"
"245127_at";"227";"0.8839";"0.9177";"0.1362";"1.0152";"0.8371"
"245128_at";"228";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245129_at";"229";"1.0181";"0.9453";"0.6608";"1.2909";"0.4669"
"245130_at";"230";"0.9651";"1.0958";"0.2259";"1.0448";"0.8955"
"245131_s_at";"231";"0.9111";"0.9079";"0.1324";"1.0573";"0.9436"
"245132_at";"232";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245133_at";"233";"0.8741";"0.8095";"0.0911";"1.0556";"0.9567"
"245134_s_at";"234";"1.0132";"1.307";"0.4197";"1.2704";"0.413"
"245135_at";"235";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245136_at";"236";"0.9158";"0.9964";"0.1728";"1.0429";"0.8888"
"245137_at";"237";"1.1159";"0.9793";"0.7414";"0.8959";"0.1421"
"245138_at";"238";"1.1454";"1.0589";"0.9571";"0.8216";"0.1032"
"245139_at";"239";"0.7707";"0.5448";"0.0302";"1.0452";"0.9818"
"245140_at";"240";"0.9921";"1.3061";"0.409";"0.9852";"0.7459"
"245141_at";"241";"0.8651";"0.7766";"0.0811";"1.053";"0.9673"
"245142_at";"242";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245143_at";"243";"0.993";"1.273";"0.3533";"1.0039";"0.8078"
"245144_at";"244";"1.0808";"1.0645";"0.9131";"0.9691";"0.1824"
"245145_at";"245";"1.0608";"1.3573";"0.5283";"1.141";"0.296"
"245146_at";"246";"1.2215";"1.043";"0.9802";"0.6502";"0.0488"
"245147_at";"247";"1.0708";"1.0595";"0.893";"1.0131";"0.2084"
"245148_at";"248";"0.5665";"0.1781";"0.0022";"1.0126";"0.9991"
"245149_at";"249";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245150_at";"250";"1.2852";"1.0325";"0.9892";"0.5704";"0.0293"
"245151_at";"251";"1.459";"1.3102";"0.4541";"0.5458";"0.0245"
"245152_at";"252";"0.8448";"0.8129";"0.092";"0.9959";"0.7857"
"245153_at";"253";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245154_at";"254";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245155_at";"255";"0.7344";"0.4584";"0.0183";"1.0271";"0.9943"
"245156_at";"256";"0.7989";"0.6041";"0.0395";"1.0408";"0.986"
"245157_at";"257";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245158_at";"258";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245159_at";"259";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245160_at";"260";"1.0613";"0.995";"0.7821";"1.1035";"0.2715"
"245161_at";"261";"1.0544";"1.0333";"0.8461";"1.0643";"0.2458"
"245162_at";"262";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245163_at";"263";"1";"1.3519";"0.5204";"1.3325";"0.5612"
"245164_at";"264";"1.3357";"1.0266";"0.9931";"0.4892";"0.0183"
"245165_at";"265";"0.1476";"0.0014";"0";"1.0003";"1"
"245166_at";"266";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245167_s_at";"267";"1.0824";"1.0648";"0.9162";"0.9413";"0.1646"
"245168_at";"268";"1.483";"1.0157";"0.9983";"0.298";"0.0062"
"245169_at";"269";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245170_at";"270";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245171_at";"271";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245172_at";"272";"1.0578";"0.985";"0.7583";"1.0891";"0.2626"
"245173_at";"273";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245174_at";"274";"0.749";"0.5609";"0.0328";"1.0439";"0.892"
"245175_at";"275";"1.0028";"1.3388";"0.4944";"1.3176";"0.5416"
"245176_at";"276";"1.2622";"1.0416";"0.9821";"0.6004";"0.0362"
"245177_at";"277";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245178_at";"278";"1.0114";"1.3445";"0.5073";"1.2894";"0.4723"
"245179_at";"279";"0.9521";"1.1296";"0.2455";"0.9672";"0.7119"
"245180_at";"280";"1.0702";"1.3358";"0.4896";"1.1321";"0.2902"
"245181_at";"281";"0.7138";"0.4124";"0.014";"1.0296";"0.9933"
"245182_at";"282";"0.8129";"0.6673";"0.0532";"1.1757";"0.3187"
"245183_at";"283";"0.9409";"1.1309";"0.2462";"1.0037";"0.8067"
"245184_at";"284";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245185_at";"285";"1.0569";"1.2494";"0.3336";"0.9401";"0.1641"
"245186_at";"286";"0.6447";"0.2987";"0.0067";"1.0213";"0.9968"
"245187_s_at";"287";"1.3594";"1.0229";"0.9954";"0.4469";"0.0149"
"245188_at";"288";"1.477";"1.0164";"0.9982";"0.303";"0.0063"
"245189_at";"289";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245190_at";"290";"0.9885";"1.2964";"0.3948";"0.9855";"0.753"
"245191_at";"291";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245192_at";"292";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245193_at";"293";"1.0019";"1.3519";"0.5203";"1.3204";"0.5432"
"245194_at";"294";"1.0017";"0.9773";"0.697";"1.2881";"0.4748"
"245195_at";"295";"1.0464";"1.0569";"0.8863";"1.0634";"0.2453"
"245196_at";"296";"2.5947";"1.0034";"1";"0.0434";"0.0002"
"245197_at";"297";"0.9669";"1.2159";"0.2996";"1.2924";"0.4575"
"245198_at";"298";"0.9841";"1.3108";"0.454";"1.3526";"0.5856"
"245199_at";"299";"0.9085";"0.9039";"0.1303";"1.0563";"0.9372"
"245200_at";"300";"1.0059";"1.0877";"0.221";"0.9512";"0.1715"
"245201_at";"301";"1.0046";"1.3087";"0.4503";"1.29";"0.4891"
"245202_at";"302";"1.0591";"0.9847";"0.7574";"1.136";"0.2929"
"245203_at";"303";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245204_at";"304";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245205_at";"305";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245206_at";"306";"1.0945";"0.983";"0.7524";"1.0232";"0.2167"
"245207_at";"307";"0.957";"1.2599";"0.3426";"1.3488";"0.5814"
"245208_at";"308";"1.0017";"0.9735";"0.7066";"1.2881";"0.4814"
"245209_at";"309";"0.9866";"1.2938";"0.3879";"0.9856";"0.7562"
"245210_at";"310";"1.0406";"1.3463";"0.5127";"1.2052";"0.3468"
"245211_at";"311";"1.0302";"1.3877";"0.5582";"1.2907";"0.4658"
"245212_at";"312";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245213_at";"313";"1.0071";"0.9516";"0.6662";"1.2686";"0.4113"
"245214_at";"314";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245215_at";"315";"1.0644";"0.9825";"0.7514";"1.1313";"0.2895"
"245216_at";"316";"1.3449";"1.0303";"0.9905";"0.4985";"0.0189"
"245217_at";"317";"0.8497";"0.8381";"0.1006";"0.9924";"0.7774"
"245218_s_at";"318";"1.0016";"0.9735";"0.7063";"1.2875";"0.4819"
"245219_at";"319";"0.9865";"1.2708";"0.3518";"0.9343";"0.683"
"245220_at";"320";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245221_s_at";"321";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245222_at";"322";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245223_at";"323";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245224_at";"324";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245225_at";"325";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245226_at";"326";"0.9844";"1.3166";"0.4608";"1.3568";"0.5925"
"245227_s_at";"327";"1.1425";"1.3068";"0.4307";"0.8241";"0.1039"
"245228_at";"328";"1.503";"1.0202";"0.9971";"0.3041";"0.0064"
"245229_at";"329";"1.0601";"1.3284";"0.4786";"1.1693";"0.3142"
"245230_at";"330";"1.0166";"1.4113";"0.5741";"1.3062";"0.5219"
"245231_at";"331";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245232_at";"332";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245233_at";"333";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245234_at";"334";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245235_at";"335";"1.0089";"1.2861";"0.3809";"1.2647";"0.4044"
"245236_at";"336";"1.0455";"1.3078";"0.445";"1.0968";"0.2676"
"245237_at";"337";"1.6351";"1.0106";"0.9994";"0.1846";"0.0024"
"245238_at";"338";"1.0228";"1.3474";"0.5146";"1.291";"0.4671"
"245239_at";"339";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245240_at";"340";"0.9737";"1.2612";"0.3445";"0.9918";"0.7751"
"245241_at";"341";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245242_at";"342";"1.0929";"0.9967";"0.7854";"1.0422";"0.2303"
"245243_at";"343";"0.7196";"0.4338";"0.0154";"1.0315";"0.992"
"245244_at";"344";"2.1141";"1.0054";"0.9999";"0.076";"0.0004"
"245245_at";"345";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245246_at";"346";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245247_at";"347";"1.3927";"1.0324";"0.9892";"0.4404";"0.0142"
"245248_at";"348";"0.9878";"1.3063";"0.4305";"1.3139";"0.5336"
"245249_at";"349";"1.2574";"1.0357";"0.9873";"0.5994";"0.0357"
"245250_at";"350";"1.0604";"1.0589";"0.891";"0.9994";"0.2001"
"245251_at";"351";"0.9565";"1.138";"0.2532";"1.0266";"0.861"
"245252_at";"352";"1.1188";"1.0556";"0.8836";"0.881";"0.1318"
"245253_at";"353";"3.4646";"1.0017";"1";"0.0258";"0.0001"
"245254_at";"354";"0.9723";"1.204";"0.2922";"1.0152";"0.8378"
"245255_at";"355";"1.0697";"0.9752";"0.7303";"1.0948";"0.2667"
"245256_at";"356";"0.6542";"0.3537";"0.0098";"1.0558";"0.9556"
"245257_at";"357";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245258_at";"358";"1";"1.0698";"0.5847";"1.0746";"0.627"
"245259_at";"359";"0.979";"1.303";"0.4063";"1.3085";"0.5261"
