"ath1_probe";"probe_target_number";"FC_35LFY_vs_LER";"pfp_35LFY_vs_LER_down";"P.value_35LFY_vs_LER_down";"pfp_35LFY_vs_LER_up";"P.value_35LFY_vs_LER_up"
"246324_at";"1424";"1.0651";"1.3222";"0.4673";"1.0471";"0.2338"
"246325_at";"1425";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246326_at";"1426";"0.9812";"1.1172";"0.2388";"1.094";"0.2658"
"246327_at";"1427";"1.2234";"0.9974";"0.7871";"0.7233";"0.0684"
"246328_at";"1428";"0.929";"1.155";"0.2628";"0.9854";"0.7474"
"246329_at";"1429";"0.9613";"1.2027";"0.2907";"0.9866";"0.7627"
"246330_at";"1430";"0.7725";"0.5462";"0.0299";"1.0438";"0.9829"
"246331_at";"1431";"1.0597";"0.9945";"0.781";"1.11";"0.275"
"246332_at";"1432";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246333_at";"1433";"1.0562";"1.055";"0.8819";"1.0552";"0.2384"
"246334_at";"1434";"1.1279";"0.9014";"0.6241";"0.8293";"0.1067"
"246335_at";"1435";"1.1247";"1.0154";"0.8179";"0.9599";"0.177"
"246336_at";"1436";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246337_at";"1437";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246338_s_at";"1438";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246339_at";"1439";"0.9799";"1.1565";"0.2636";"1.0366";"0.8783"
"246340_s_at";"1440";"2.4255";"1.0068";"0.9998";"0.0612";"0.0003"
"246341_x_at";"1441";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246342_at";"1442";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246343_at";"1443";"1.1513";"1.0594";"0.9541";"0.8082";"0.098"
"246344_at";"1444";"0.7703";"0.5746";"0.0349";"1.0562";"0.939"
"246345_at";"1445";"0.9524";"1.1986";"0.2875";"1.2944";"0.5062"
"246346_at";"1446";"0.9043";"1.0222";"0.1867";"1.0196";"0.848"
"246347_at";"1447";"0.9843";"1.1829";"0.2778";"1.3377";"0.5668"
"246348_at";"1448";"1.0568";"0.9817";"0.748";"1.0905";"0.2635"
"246349_at";"1449";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246350_at";"1450";"0.9766";"1.2149";"0.3018";"1.0155";"0.8384"
"246351_at";"1451";"1.1293";"1.0561";"0.8847";"0.8599";"0.1215"
"246352_at";"1452";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246353_s_at";"1453";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246354_at";"1454";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246355_at";"1455";"1.0037";"1.3091";"0.4524";"1.2876";"0.4438"
"246356_x_at";"1456";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246357_x_at";"1457";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246358_x_at";"1458";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246359_x_at";"1459";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246360_at";"1460";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246361_s_at";"1461";"0.991";"1.3362";"0.489";"1.3532";"0.5875"
"246362_at";"1462";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246363_at";"1463";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246364_at";"1464";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246365_at";"1465";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246366_at";"1466";"0.951";"1.048";"0.1992";"1.0464";"0.902"
"246367_at";"1467";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246368_at";"1468";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246369_at";"1469";"0.9051";"1.0678";"0.209";"0.9852";"0.7519"
"246370_at";"1470";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246371_at";"1471";"0.8654";"0.7828";"0.0825";"1.0547";"0.9607"
"246372_at";"1472";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246373_at";"1473";"0.9585";"1.2373";"0.3206";"1.2896";"0.4915"
"246374_at";"1474";"0.8008";"0.8074";"0.0895";"0.8893";"0.6448"
"246375_at";"1475";"0.7328";"0.4575";"0.0181";"1.0277";"0.994"
"246376_at";"1476";"0.8036";"0.6163";"0.0417";"1.0422";"0.9847"
"246377_at";"1477";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246378_at";"1478";"0.9898";"1.3073";"0.4436";"1.3247";"0.55"
"246379_s_at";"1479";"0.8236";"0.6643";"0.0527";"1.0469";"0.9787"
"246380_at";"1480";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246381_at";"1481";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246382_at";"1482";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246383_at";"1483";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246384_at";"1484";"1.0362";"1.0528";"0.8775";"1.0944";"0.2659"
"246385_at";"1485";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246386_at";"1486";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246387_at";"1487";"0.9881";"1.2561";"0.3387";"1.0078";"0.8175"
"246388_at";"1488";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246389_at";"1489";"1.0348";"1.0199";"0.8252";"1.1636";"0.3106"
"246390_at";"1490";"0.4189";"0.0541";"0.0002";"1.0029";"1"
"246391_at";"1491";"1.0834";"0.9837";"0.754";"1.0357";"0.2245"
"246392_at";"1492";"1.0089";"0.974";"0.716";"1.2852";"0.4389"
"246393_at";"1493";"1.0022";"0.9758";"0.6989";"1.2902";"0.4714"
"246394_at";"1494";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246395_at";"1495";"0.892";"0.8669";"0.1133";"1.0551";"0.9276"
"246396_at";"1496";"0.68";"0.3404";"0.0089";"1.0211";"0.9969"
"246397_at";"1497";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246398_at";"1498";"1.0565";"0.9937";"0.7782";"1.1221";"0.2835"
"246399_at";"1499";"1.0383";"1.3071";"0.4383";"1.2117";"0.3517"
"246400_at";"1500";"0.9751";"1.3009";"0.4025";"1.316";"0.539"
"246401_at";"1501";"0.8612";"0.8289";"0.097";"1.0476";"0.9048"
"246402_at";"1502";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246403_at";"1503";"0.6629";"0.3115";"0.0074";"1.0177";"0.9979"
"246404_at";"1504";"1.1267";"1.0136";"0.8153";"0.9523";"0.1723"
"246405_at";"1505";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246406_at";"1506";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246407_at";"1507";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246408_at";"1508";"1.0327";"0.9752";"0.6909";"1.2219";"0.3597"
"246409_at";"1509";"0.927";"1.0703";"0.2114";"0.9997";"0.7978"
"246410_at";"1510";"0.9758";"1.2149";"0.2993";"1.0156";"0.8391"
"246411_at";"1511";"1.0078";"0.9743";"0.7214";"1.2925";"0.4574"
"246412_at";"1512";"1.1537";"1.0576";"0.9604";"0.7837";"0.0892"
"246413_at";"1513";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246414_at";"1514";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246415_at";"1515";"0.9507";"1.1409";"0.2548";"0.986";"0.7585"
"246416_at";"1516";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246417_at";"1517";"1.259";"1.0372";"0.986";"0.5946";"0.0344"
"246418_at";"1518";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246419_at";"1519";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246420_at";"1520";"1.0013";"1.2986";"0.398";"1.2516";"0.3911"
"246421_at";"1521";"1";"1.3528";"0.5216";"1.3358";"0.5652"
"246422_at";"1522";"0.8698";"0.8594";"0.1102";"0.9582";"0.7034"
"246423_at";"1523";"0.9183";"1.0695";"0.2099";"1.0095";"0.8221"
"246424_at";"1524";"1.0226";"0.9744";"0.7184";"1.2498";"0.3883"
"246425_at";"1525";"0.999";"1.2896";"0.3839";"1.2832";"0.4338"
"246426_at";"1526";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246427_at";"1527";"0.7998";"0.6859";"0.057";"1.0405";"0.885"
"246428_at";"1528";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246429_at";"1529";"0.994";"1.3087";"0.413";"0.9856";"0.7435"
"246430_at";"1530";"1";"1.0698";"0.5847";"1.0746";"0.627"
"246431_at";"1531";"1";"1.0698";"0.5847";"1.0746";"0.627"
