"ath1_probe";"probe_target_number";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_down";"P.value_LFYGR_WT_down";"pfp_LFYGR_WT_up";"P.value_LFYGR_WT_up"
"258538_at";"13638";"1.1632";"1.1025";"0.9707";"0.3979";"0.046"
"258539_at";"13639";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258540_at";"13640";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258541_at";"13641";"1.0187";"1.0806";"0.832";"1.3079";"0.4506"
"258542_at";"13642";"1.0688";"1.6867";"0.6779";"0.9453";"0.2346"
"258543_at";"13643";"0.7527";"0.1589";"0.0105";"1.0777";"0.9973"
"258544_at";"13644";"1.0083";"1.064";"0.7471";"1.457";"0.5787"
"258545_at";"13645";"0.7727";"0.1346";"0.0083";"1.057";"0.9994"
"258546_at";"13646";"1.1465";"1.1052";"0.963";"0.4954";"0.0694"
"258547_at";"13647";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258548_at";"13648";"1.0039";"1.6345";"0.553";"1.321";"0.4613"
"258549_at";"13649";"0.8276";"0.2672";"0.0223";"1.076";"0.9976"
"258550_at";"13650";"0.9541";"1.2103";"0.2675";"1.0901";"0.9082"
"258551_at";"13651";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258552_at";"13652";"0.3552";"0.0008";"0";"1.0105";"1"
"258553_at";"13653";"1.0139";"1.5791";"0.4934";"1.4195";"0.5387"
"258554_at";"13654";"1.0188";"1.6661";"0.6394";"1.3161";"0.4567"
"258555_at";"13655";"1.177";"1.0842";"0.9878";"0.3764";"0.0414"
"258556_at";"13656";"1.2166";"1.1089";"0.9537";"0.2868";"0.0251"
"258557_at";"13657";"1.2946";"1.1045";"0.9662";"0.1934";"0.012"
"258558_at";"13658";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258559_at";"13659";"0.9665";"1.2934";"0.3028";"1.541";"0.7417"
"258560_at";"13660";"1.0001";"1.0584";"0.7497";"1.4885";"0.6641"
"258561_at";"13661";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258562_at";"13662";"0.9993";"1.6451";"0.5776";"1.0445";"0.8098"
"258563_at";"13663";"1.1014";"1.1063";"0.9141";"0.706";"0.1326"
"258564_at";"13664";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258565_at";"13665";"1.0418";"1.6419";"0.6048";"1.1401";"0.3383"
"258566_at";"13666";"1.0051";"1.0519";"0.7625";"1.5044";"0.6263"
"258567_at";"13667";"1.0114";"1.6405";"0.5583";"1.4672";"0.5889"
"258568_at";"13668";"0.8971";"0.6946";"0.0957";"1.0975";"0.9266"
"258569_at";"13669";"1.0318";"1.0653";"0.7951";"1.2503";"0.4102"
"258570_at";"13670";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258571_at";"13671";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258572_at";"13672";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258573_at";"13673";"0.9911";"1.3405";"0.3273";"1.3347";"0.4713"
"258574_at";"13674";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258575_at";"13675";"1.1196";"1.0771";"0.8232";"0.6403";"0.111"
"258576_at";"13676";"1.1549";"1.089";"0.9846";"0.4625";"0.061"
"258577_at";"13677";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258578_at";"13678";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258579_s_at";"13679";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258580_at";"13680";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258581_at";"13681";"1.2774";"1.0929";"0.9806";"0.1758";"0.0101"
"258582_at";"13682";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258583_at";"13683";"1";"1.2772";"0.6831";"1.2194";"0.7517"
