"ath1_probe";"probe_target_number";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_down";"P.value_LFYGR_WT_down";"pfp_LFYGR_WT_up";"P.value_LFYGR_WT_up"
"244901_at";"1";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244902_at";"2";"0.8593";"0.493";"0.0564";"1.0953";"0.9229"
"244903_at";"3";"0.9346";"1.1211";"0.2286";"1.0445";"0.8095"
"244904_at";"4";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244905_at";"5";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244906_at";"6";"1.3095";"1.1087";"0.9527";"0.1442";"0.0072"
"244907_at";"7";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244908_at";"8";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244909_at";"9";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244910_s_at";"10";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244911_at";"11";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244912_at";"12";"0.7799";"0.2214";"0.017";"1.1007";"0.9359"
"244913_at";"13";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244914_at";"14";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244915_s_at";"15";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244916_at";"16";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244917_at";"17";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244918_at";"18";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244919_at";"19";"1.0018";"1.0528";"0.7548";"1.5088";"0.6448"
"244920_s_at";"20";"0.9914";"1.4197";"0.3742";"1.4893";"0.6115"
"244921_s_at";"21";"1.0504";"1.1034";"0.9017";"1.0728";"0.2998"
"244922_s_at";"22";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244923_s_at";"23";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244924_at";"24";"0.9219";"1.0146";"0.1885";"1.5359";"0.7378"
"244925_at";"25";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244926_s_at";"26";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244927_at";"27";"1.1784";"1.0976";"0.9761";"0.4041";"0.0471"
"244928_s_at";"28";"1.0218";"1.1092";"0.9465";"1.0779";"0.3026"
"244929_at";"29";"0.9497";"1.1152";"0.2264";"1.0599";"0.849"
"244930_at";"30";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244931_at";"31";"0.9953";"1.642";"0.6072";"1.0041";"0.7506"
"244932_at";"32";"0.6956";"0.055";"0.0026";"1.0474";"0.9998"
"244933_at";"33";"0.7831";"0.216";"0.0165";"1.1018";"0.9869"
"244934_at";"34";"0.8431";"0.4371";"0.0464";"1.1094";"0.9714"
"244935_at";"35";"0.8876";"0.6527";"0.0868";"1.1008";"0.9371"
"244936_at";"36";"0.8718";"0.505";"0.0586";"1.0933";"0.9158"
"244937_at";"37";"0.8521";"0.4679";"0.052";"1.5163";"0.7122"
"244938_at";"38";"0.8906";"0.7875";"0.1191";"1.035";"0.7898"
"244939_at";"39";"0.9529";"1.2959";"0.3038";"1.4949";"0.6619"
"244940_at";"40";"0.9478";"1.1826";"0.2551";"1.4317";"0.5499"
"244941_at";"41";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244942_at";"42";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244943_at";"43";"1.0839";"1.5298";"0.4471";"0.8851";"0.2057"
"244944_s_at";"44";"0.9053";"0.8104";"0.126";"1.0679";"0.8651"
"244945_at";"45";"0.9746";"1.237";"0.278";"1.4005";"0.5241"
"244946_at";"46";"1.2893";"1.0835";"0.9882";"0.1808";"0.0106"
"244947_at";"47";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244948_at";"48";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244949_at";"49";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244950_at";"50";"0.9886";"1.4027";"0.3642";"1.203";"0.3783"
"244951_s_at";"51";"0.8929";"0.8362";"0.1327";"1.4928";"0.6822"
"244952_at";"52";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244953_s_at";"53";"0.9727";"1.4979";"0.4204";"1.0463";"0.8266"
"244954_s_at";"54";"1.2691";"1.1036";"0.9033";"0.1744";"0.01"
"244955_at";"55";"1.0119";"1.6781";"0.664";"1.4896";"0.6119"
"244956_s_at";"56";"1.2927";"1.1062";"0.9614";"0.1279";"0.0058"
"244957_at";"57";"1.1587";"1.5542";"0.4687";"0.4175";"0.0504"
"244958_at";"58";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244959_s_at";"59";"0.9754";"0.957";"0.1695";"1.024";"0.2744"
"244960_at";"60";"0.9259";"1.1113";"0.2249";"1.5045";"0.6976"
"244961_at";"61";"1.0256";"1.5772";"0.4917";"1.1642";"0.3532"
"244962_at";"62";"0.8008";"0.236";"0.0185";"1.0946";"0.9926"
"244963_at";"63";"0.893";"0.5316";"0.0634";"1.0918";"0.9936"
"244964_at";"64";"0.8239";"0.3069";"0.0274";"1.0971";"0.9908"
"244965_at";"65";"1.288";"1.0857";"0.8461";"0.1501";"0.0077"
"244966_at";"66";"0.9902";"1.0485";"0.2003";"0.5728";"0.0893"
"244967_at";"67";"0.7749";"0.2808";"0.0239";"1.0785";"0.8887"
"244968_at";"68";"1.0331";"1.6296";"0.5473";"1.0153";"0.2685"
"244969_at";"69";"0.831";"0.4259";"0.0447";"1.0689";"0.867"
"244970_at";"70";"0.8952";"0.7548";"0.1108";"1.5267";"0.7235"
"244971_at";"71";"0.9511";"1.173";"0.2515";"1.0454";"0.8255"
"244972_at";"72";"0.927";"1.0025";"0.1842";"1.0388";"0.795"
"244973_at";"73";"0.8004";"0.2887";"0.025";"1.0712";"0.8714"
"244974_at";"74";"0.7676";"0.1776";"0.0125";"1.1038";"0.9845"
"244975_at";"75";"0.874";"0.6154";"0.0793";"1.0903";"0.9084"
"244976_at";"76";"0.9944";"1.36";"0.3391";"1.051";"0.2876"
"244977_at";"77";"0.9079";"0.8926";"0.1496";"1.4044";"0.5275"
"244978_at";"78";"0.9148";"0.7794";"0.1172";"1.0857";"0.9016"
"244979_at";"79";"0.9026";"0.6526";"0.0867";"1.1046";"0.983"
"244980_at";"80";"0.846";"0.346";"0.0324";"1.0868";"0.9952"
"244981_at";"81";"0.8346";"0.336";"0.0311";"1.0971";"0.9908"
"244982_at";"82";"0.987";"1.5066";"0.4276";"1.3765";"0.5047"
"244983_at";"83";"1.1094";"1.6672";"0.6414";"0.5329";"0.0782"
"244984_at";"84";"1.0127";"1.552";"0.4671";"1.1946";"0.3729"
"244985_at";"85";"0.8841";"0.5813";"0.0728";"1.1089";"0.9659"
"244986_at";"86";"0.7749";"0.2456";"0.0198";"1.0953";"0.9222"
"244987_s_at";"87";"0.8976";"0.6757";"0.0917";"1.1081";"0.9609"
"244988_s_at";"88";"0.797";"0.376";"0.0367";"1.0479";"0.8297"
"244989_s_at";"89";"1.3506";"1.1038";"0.9682";"0.1223";"0.0053"
"244990_s_at";"90";"1.1157";"1.0669";"0.7981";"0.607";"0.0996"
"244991_s_at";"91";"1.4325";"1.1057";"0.9085";"0.0628";"0.0018"
"244992_s_at";"92";"0.9909";"1.605";"0.5194";"1.5005";"0.6214"
"244993_s_at";"93";"0.796";"0.2553";"0.0208";"1.1092";"0.9709"
"244994_at";"94";"1.0314";"1.6876";"0.6789";"1.3811";"0.5086"
"244995_at";"95";"0.9039";"1.0315";"0.1938";"1.3842";"0.5124"
"244996_at";"96";"0.9012";"0.8061";"0.1242";"1.0922";"0.9136"
"244997_at";"97";"0.7944";"0.2563";"0.0209";"1.1069";"0.9795"
"244998_at";"98";"1.1562";"1.6625";"0.6315";"0.3888";"0.0439"
"244999_at";"99";"1.0717";"1.1086";"0.9352";"0.9062";"0.2161"
"245000_at";"100";"1.1844";"1.0843";"0.8411";"0.4103";"0.0487"
"245001_at";"101";"0.8535";"0.4499";"0.049";"1.0954";"0.9228"
"245002_at";"102";"0.9301";"1.0312";"0.1936";"1.0767";"0.8836"
"245003_at";"103";"0.972";"1.4427";"0.3877";"1.4981";"0.6909"
"245004_at";"104";"0.9322";"1.0754";"0.211";"1.1826";"0.3657"
"245005_at";"105";"0.8888";"0.7571";"0.1114";"1.0856";"0.9016"
"245006_at";"106";"1.0259";"1.0527";"0.7553";"1.1967";"0.3741"
"245007_at";"107";"0.9733";"1.1383";"0.2363";"0.8808";"0.2037"
"245008_at";"108";"0.8791";"0.5753";"0.0716";"1.098";"0.9284"
"245009_at";"109";"0.8984";"0.7387";"0.1061";"1.1024";"0.9404"
"245010_at";"110";"1.3374";"1.0942";"0.9792";"0.1178";"0.005"
"245011_at";"111";"0.8533";"0.4921";"0.0562";"1.0979";"0.9281"
"245012_at";"112";"0.9729";"1.3066";"0.3095";"1.4182";"0.5376"
"245013_at";"113";"0.9547";"1.375";"0.3482";"1.0069";"0.7557"
"245014_at";"114";"1.009";"1.5599";"0.4735";"0.9192";"0.2222"
"245015_at";"115";"1.1943";"1.1056";"0.9091";"0.3053";"0.028"
"245016_at";"116";"0.9776";"1.2323";"0.2764";"1.0226";"0.2734"
"245017_at";"117";"0.856";"0.6737";"0.0912";"1.5427";"0.7463"
"245018_at";"118";"0.8331";"0.4311";"0.0455";"1.0946";"0.9204"
"245019_at";"119";"0.9368";"0.9935";"0.1812";"1.0428";"0.8205"
"245020_at";"120";"0.9664";"0.8077";"0.1251";"1.0972";"0.3142"
"245021_at";"121";"0.8372";"0.436";"0.0462";"1.0428";"0.8197"
"245022_at";"122";"0.8468";"0.4723";"0.0527";"1.0705";"0.8702"
"245023_at";"123";"0.9503";"1.2438";"0.2821";"1.3357";"0.4722"
"245024_at";"124";"0.8954";"0.6318";"0.0828";"1.0084";"0.7579"
"245025_at";"125";"0.8987";"0.776";"0.1163";"1.0807";"0.8932"
"245026_at";"126";"0.9598";"1.3622";"0.3412";"1.5122";"0.7059"
"245027_at";"127";"1.0903";"1.1092";"0.9468";"0.7207";"0.1384"
"245028_at";"128";"1.1937";"1.0557";"0.9965";"0.3027";"0.0275"
"245029_at";"129";"0.8708";"0.4441";"0.0479";"1.0924";"0.9933"
"245030_at";"130";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245031_at";"131";"1.2243";"1.1049";"0.9067";"0.2679";"0.0222"
"245032_at";"132";"0.8006";"0.3573";"0.0341";"1.1092";"0.9655"
"245033_at";"133";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245034_at";"134";"15.8682";"1.0001";"1";"0";"0"
"245035_at";"135";"1.2564";"1.102";"0.8975";"0.1594";"0.0086"
"245036_at";"136";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245037_at";"137";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245038_at";"138";"0.8415";"0.3233";"0.0295";"1.081";"0.9966"
"245039_at";"139";"0.9774";"1.3935";"0.3587";"1.5089";"0.6313"
"245040_at";"140";"1.3819";"1.0375";"0.9989";"0.062";"0.0018"
"245041_at";"141";"2.14";"1.0111";"1";"0.0005";"0"
"245042_at";"142";"1.2508";"1.0415";"0.9985";"0.1888";"0.0115"
"245043_at";"143";"1.1347";"1.1071";"0.9585";"0.5301";"0.0775"
"245044_at";"144";"1.1082";"1.0836";"0.9882";"0.5757";"0.0903"
"245045_at";"145";"1.049";"1.6682";"0.6462";"1.0981";"0.3146"
"245046_at";"146";"1.1054";"1.1083";"0.9545";"0.628";"0.1068"
"245047_at";"147";"0.9677";"1.399";"0.3611";"1.4874";"0.6768"
"245048_at";"148";"0.9222";"0.9155";"0.1572";"1.0675";"0.8631"
"245049_at";"149";"1.1003";"1.5032";"0.4253";"0.5948";"0.0956"
"245050_at";"150";"1.1449";"1.617";"0.5312";"0.3466";"0.035"
"245051_at";"151";"0.8406";"0.3461";"0.0325";"1.0952";"0.992"
"245052_at";"152";"2.4199";"1.003";"1";"0.0001";"0"
"245053_at";"153";"0.9998";"1.6388";"0.5823";"1.046";"0.8079"
"245054_at";"154";"1.1222";"1.1077";"0.9554";"0.6028";"0.0982"
"245055_at";"155";"1.0127";"1.0606";"0.7857";"1.3971";"0.5213"
"245056_at";"156";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245057_at";"157";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245058_at";"158";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245059_at";"159";"1.3574";"1.0212";"0.9998";"0.0691";"0.0021"
"245060_at";"160";"1.1496";"1.1086";"0.9352";"0.5379";"0.0799"
"245061_at";"161";"1.0385";"1.6784";"0.6649";"1.0558";"0.291"
"245062_at";"162";"1.0088";"1.6784";"0.6643";"1.3763";"0.5047"
"245063_at";"163";"1.057";"1.561";"0.4742";"0.9747";"0.2482"
"245064_at";"164";"1.1258";"1.1058";"0.9625";"0.5402";"0.0805"
"245065_at";"165";"1.142";"1.1085";"0.9353";"0.5553";"0.0846"
"245066_at";"166";"0.9016";"0.8245";"0.1299";"1.0941";"0.9192"
"245067_at";"167";"0.9278";"0.9506";"0.1679";"1.099";"0.933"
"245068_at";"168";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245069_at";"169";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245070_at";"170";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245071_at";"171";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245072_s_at";"172";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245073_at";"173";"1.0275";"1.0637";"0.791";"1.4056";"0.5287"
"245074_at";"174";"1.1243";"1.1071";"0.9214";"0.5457";"0.0818"
"245075_at";"175";"0.5094";"0.008";"0.0002";"1.0244";"1"
"245076_at";"176";"0.437";"0.0032";"0.0001";"1.016";"1"
"245077_at";"177";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245078_at";"178";"1.013";"1.5725";"0.4855";"1.37";"0.4982"
"245079_at";"179";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245080_at";"180";"0.9732";"1.4335";"0.3821";"1.0645";"0.8568"
"245081_at";"181";"0.9821";"1.479";"0.4095";"1.0734";"0.8769"
"245082_at";"182";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245083_at";"183";"1.141";"1.1065";"0.9158";"0.5267";"0.0767"
"245084_at";"184";"1.0205";"1.5747";"0.4888";"1.3249";"0.4636"
"245085_at";"185";"0.9516";"1.1276";"0.2316";"1.0745";"0.8797"
"245086_at";"186";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245087_at";"187";"0.6475";"0.0333";"0.0014";"1.0396";"0.9999"
"245088_at";"188";"0.5464";"0.0111";"0.0003";"1.0256";"1"
"245089_at";"189";"1.1049";"1.0875";"0.9857";"0.6235";"0.1054"
"245090_at";"190";"0.6512";"0.0339";"0.0014";"1.0394";"0.9999"
"245091_at";"191";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245092_at";"192";"1.1399";"1.067";"0.7986";"0.3962";"0.0455"
"245093_at";"193";"1.4288";"1.0471";"0.9978";"0.0489";"0.0012"
"245094_at";"194";"0.9321";"0.9623";"0.1716";"1.1034";"0.9435"
"245095_at";"195";"0.9527";"1.2739";"0.295";"1.0311";"0.7848"
"245096_at";"196";"1.0908";"1.0866";"0.8478";"0.7063";"0.133"
"245097_at";"197";"1.3551";"1.0568";"0.9963";"0.0854";"0.003"
"245098_at";"198";"1.1618";"1.1065";"0.9185";"0.4178";"0.0502"
"245099_at";"199";"1.0349";"1.106";"0.912";"1.0803";"0.305"
"245100_at";"200";"0.9862";"1.308";"0.3101";"1.5312";"0.7308"
"245101_at";"201";"1.1295";"1.0812";"0.9895";"0.477";"0.065"
"245102_at";"202";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245103_at";"203";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245104_at";"204";"0.874";"0.4409";"0.0472";"1.0876";"0.9949"
"245105_at";"205";"1.0021";"1.6354";"0.5872";"1.5109";"0.6402"
"245106_at";"206";"1.0242";"1.6446";"0.5663";"1.3901";"0.5174"
"245107_at";"207";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245108_at";"208";"0.2669";"0.0002";"0";"1.0092";"1"
"245109_at";"209";"0.9588";"1.1573";"0.2445";"1.3799";"0.5077"
"245110_at";"210";"1.0093";"1.1792";"0.2537";"1.4338";"0.5518"
"245111_at";"211";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245112_at";"212";"0.8656";"0.4007";"0.0404";"1.0847";"0.9957"
"245113_at";"213";"0.1904";"0";"0";"1.0038";"1"
"245114_at";"214";"0.9687";"1.2722";"0.2942";"1.0077";"0.7569"
"245115_at";"215";"0.9412";"1.1854";"0.2569";"1.0261";"0.7786"
"245116_at";"216";"0.9957";"1.5487";"0.4624";"1.4436";"0.5614"
"245117_at";"217";"0.9826";"1.4298";"0.3792";"1.4861";"0.6088"
"245118_at";"218";"0.9943";"1.5311";"0.449";"1.5098";"0.6429"
"245119_at";"219";"1.0004";"1.0653";"0.7952";"1.4403";"0.557"
"245120_at";"220";"1.0376";"1.6391";"0.5822";"1.0711";"0.2987"
"245121_at";"221";"0.8801";"0.5621";"0.0691";"1.1079";"0.9771"
"245122_at";"222";"1.2484";"1.1045";"0.9642";"0.2386";"0.0174"
"245123_at";"223";"0.9387";"1.0115";"0.187";"1.0712";"0.8712"
"245124_at";"224";"1.0901";"1.1051";"0.9069";"0.8006";"0.1706"
"245125_at";"225";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245126_at";"226";"1.206";"1.0565";"0.9964";"0.256";"0.0201"
"245127_at";"227";"1.2722";"1.1078";"0.9281";"0.231";"0.0164"
"245128_at";"228";"1.1353";"1.0932";"0.8637";"0.5334";"0.0783"
"245129_at";"229";"1";"1.6337";"0.5844";"1.0471";"0.8073"
"245130_at";"230";"0.344";"0.0005";"0";"1.0091";"1"
"245131_s_at";"231";"1.1678";"1.0667";"0.9942";"0.3764";"0.0415"
"245132_at";"232";"1.4291";"1.0198";"0.9999";"0.0501";"0.0012"
"245133_at";"233";"1.0183";"1.0677";"0.7407";"1.309";"0.4515"
"245134_s_at";"234";"1.2409";"1.0378";"0.9989";"0.2104";"0.014"
"245135_at";"235";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245136_at";"236";"0.7265";"0.1775";"0.0125";"1.1079";"0.977"
"245137_at";"237";"1.1499";"1.0857";"0.8452";"0.5334";"0.0783"
"245138_at";"238";"1.0087";"1.6787";"0.667";"1.3577";"0.4883"
"245139_at";"239";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245140_at";"240";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245141_at";"241";"0.8565";"0.4384";"0.0467";"1.1088";"0.9731"
"245142_at";"242";"1.0442";"1.6453";"0.5719";"1.1427";"0.3398"
"245143_at";"243";"0.566";"0.0131";"0.0004";"1.0291";"1"
"245144_at";"244";"1.0028";"1.5301";"0.4468";"1.4876";"0.6104"
"245145_at";"245";"0.8937";"0.5346";"0.0641";"1.0957";"0.9918"
"245146_at";"246";"1.0585";"1.0917";"0.8599";"0.9833";"0.2521"
"245147_at";"247";"1.0573";"1.0381";"0.7002";"0.9846";"0.2527"
"245148_at";"248";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245149_at";"249";"0.9983";"1.5078";"0.4283";"1.4444";"0.5647"
"245150_at";"250";"1.0639";"1.0647";"0.7465";"0.9802";"0.2509"
"245151_at";"251";"1.3366";"1.0943";"0.9787";"0.1211";"0.0052"
"245152_at";"252";"1.3351";"1.0318";"0.9994";"0.0975";"0.0037"
"245153_at";"253";"1.047";"1.1076";"0.9556";"0.923";"0.2238"
"245154_at";"254";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245155_at";"255";"0.8289";"0.2796";"0.0238";"1.0786";"0.9971"
"245156_at";"256";"0.8202";"0.244";"0.0196";"1.0729";"0.998"
"245157_at";"257";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245158_at";"258";"0.4438";"0.0036";"0.0001";"1.0186";"1"
"245159_at";"259";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245160_at";"260";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245161_at";"261";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245162_at";"262";"1.0011";"1.0856";"0.845";"1.3974";"0.5217"
"245163_at";"263";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245164_at";"264";"0.9793";"1.4245";"0.3761";"1.5436";"0.748"
"245165_at";"265";"1.2102";"1.0571";"0.9962";"0.2597";"0.0208"
"245166_at";"266";"0.9888";"1.4385";"0.3848";"1.4608";"0.5824"
"245167_s_at";"267";"0.8243";"0.4108";"0.042";"1.0935";"0.918"
"245168_at";"268";"1.2257";"1.0533";"0.997";"0.2446";"0.0182"
"245169_at";"269";"1.0324";"1.0704";"0.8062";"1.2255";"0.393"
"245170_at";"270";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245171_at";"271";"5.8302";"1.0008";"1";"0";"0"
"245172_at";"272";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245173_at";"273";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245174_at";"274";"0.8275";"0.2854";"0.0245";"1.0793";"0.997"
"245175_at";"275";"0.9137";"0.6624";"0.0889";"1.0992";"0.9891"
"245176_at";"276";"0.8477";"0.3944";"0.0395";"1.0994";"0.989"
"245177_at";"277";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245178_at";"278";"1.1412";"1.099";"0.8852";"0.4715";"0.0637"
"245179_at";"279";"1.1607";"1.1014";"0.973";"0.4718";"0.0638"
"245180_at";"280";"0.8491";"0.3419";"0.0319";"1.0828";"0.9961"
"245181_at";"281";"0.738";"0.1302";"0.008";"1.0678";"0.9987"
"245182_at";"282";"1.0674";"1.0949";"0.8716";"0.956";"0.2388"
"245183_at";"283";"1.0198";"1.6551";"0.6212";"1.3158";"0.4561"
"245184_at";"284";"1.0015";"1.0524";"0.7558";"1.5072";"0.6521"
"245185_at";"285";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245186_at";"286";"0.4648";"0.0044";"0.0001";"1.018";"1"
"245187_s_at";"287";"1.0284";"1.666";"0.6404";"1.1304";"0.3334"
"245188_at";"288";"1.1772";"1.0786";"0.9905";"0.3444";"0.0343"
"245189_at";"289";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245190_at";"290";"1.1529";"1.108";"0.928";"0.4726";"0.0639"
"245191_at";"291";"1.3443";"1.0532";"0.997";"0.0802";"0.0027"
"245192_at";"292";"0.9944";"1.6791";"0.6654";"1.4304";"0.5486"
"245193_at";"293";"0.2603";"0.0001";"0";"1.0056";"1"
"245194_at";"294";"0.9132";"0.7459";"0.1082";"1.1072";"0.9573"
"245195_at";"295";"1.0969";"1.108";"0.9275";"0.7216";"0.1389"
"245196_at";"296";"1.2358";"1.0526";"0.9971";"0.2316";"0.0165"
"245197_at";"297";"1.0947";"1.1048";"0.9057";"0.676";"0.1226"
"245198_at";"298";"0.9977";"1.6481";"0.6135";"1.3808";"0.5088"
"245199_at";"299";"1.0236";"1.6432";"0.6084";"1.4196";"0.5389"
"245200_at";"300";"0.7469";"0.1132";"0.0066";"1.0603";"0.9992"
"245201_at";"301";"1.1231";"1.1068";"0.9204";"0.6091";"0.1002"
"245202_at";"302";"0.8899";"0.6188";"0.0802";"1.5416";"0.7421"
"245203_at";"303";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245204_at";"304";"0.9956";"1.0287";"0.6882";"1.5088";"0.6316"
"245205_at";"305";"1.0006";"1.0558";"0.751";"1.5069";"0.6533"
"245206_at";"306";"1.1583";"1.108";"0.932";"0.4754";"0.0647"
"245207_at";"307";"0.7484";"0.1002";"0.0057";"1.0516";"0.9997"
"245208_at";"308";"0.4868";"0.0057";"0.0001";"1.0186";"1"
"245209_at";"309";"1.3755";"1.0234";"0.9998";"0.0642";"0.0018"
"245210_at";"310";"0.9658";"1.3117";"0.3118";"1.5116";"0.6384"
"245211_at";"311";"1.0834";"1.0916";"0.8596";"0.8254";"0.1803"
"245212_at";"312";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245213_at";"313";"0.9886";"1.6229";"0.5376";"1.416";"0.5362"
"245214_at";"314";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245215_at";"315";"0.7201";"0.0707";"0.0036";"1.0481";"0.9998"
"245216_at";"316";"0.8857";"0.4942";"0.0566";"1.093";"0.9932"
"245217_at";"317";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245218_s_at";"318";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245219_at";"319";"0.9596";"1.3308";"0.3214";"1.0416";"0.7999"
"245220_at";"320";"1.0159";"1.0453";"0.7092";"1.5062";"0.6285"
"245221_s_at";"321";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245222_at";"322";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245223_at";"323";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245224_at";"324";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245225_at";"325";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245226_at";"326";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245227_s_at";"327";"1.2147";"1.0827";"0.9888";"0.3019";"0.0274"
"245228_at";"328";"1.132";"1.6169";"0.5312";"0.6123";"0.1013"
"245229_at";"329";"0.7288";"0.0774";"0.004";"1.0483";"0.9998"
"245230_at";"330";"1.1295";"1.0914";"0.8581";"0.5115";"0.0732"
"245231_at";"331";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245232_at";"332";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245233_at";"333";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245234_at";"334";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245235_at";"335";"1.05";"1.0623";"0.7884";"1.0924";"0.3113"
"245236_at";"336";"1.5303";"1.0614";"0.9954";"0.0351";"0.0007"
"245237_at";"337";"1.1965";"1.0808";"0.9896";"0.3222";"0.0308"
"245238_at";"338";"1.0444";"1.0372";"0.699";"0.8927";"0.2098"
"245239_at";"339";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245240_at";"340";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245241_at";"341";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245242_at";"342";"1.0062";"1.4924";"0.4174";"1.0189";"0.2707"
"245243_at";"343";"1.0291";"1.0941";"0.8695";"1.2688";"0.4233"
"245244_at";"344";"1.0823";"1.0495";"0.7163";"0.5416";"0.0809"
"245245_at";"345";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245246_at";"346";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"245247_at";"347";"1.0434";"1.0981";"0.881";"1.1575";"0.3488"
"245248_at";"348";"1.2043";"1.0589";"0.9958";"0.2601";"0.0208"
"245249_at";"349";"1.0377";"1.0594";"0.782";"1.1422";"0.3395"
"245250_at";"350";"1.0016";"1.0531";"0.7542";"1.5091";"0.6462"
"245251_at";"351";"0.5969";"0.0185";"0.0006";"1.0297";"1"
"245252_at";"352";"1.1264";"1.1099";"0.9449";"0.6154";"0.1023"
"245253_at";"353";"0.6108";"0.026";"0.001";"1.0411";"0.9999"
"245254_at";"354";"1.4387";"1.0443";"0.9982";"0.0391";"0.0008"
"245255_at";"355";"1.0637";"1.1035";"0.902";"0.8997";"0.2128"
"245256_at";"356";"1.2312";"1.053";"0.997";"0.2359";"0.017"
"245257_at";"357";"0.8677";"0.4391";"0.0469";"1.1034";"0.985"
"245258_at";"358";"1";"1.2772";"0.6831";"1.2194";"0.7517"
